rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,McLean YSA ECNL GU14,Fairfax Virginia Union,25892,12,10,2,0,30,2.5,39,9,30
2,Loudoun Soccer ECNL GU14,Northern Virginia Alliance,35287,12,10,2,0,30,2.5,26,12,14
3,Charlotte SA ECNL GU14,Charlotte Soccer Academy,44722,21,14,2,5,47,2.24,33,11,22
4,Charlotte Independence ECNL GU14,Charlotte Independence SC,35286,21,11,3,7,40,1.9,32,18,14
5,NC Courage ECNL GU14,NC Courage Academy,44729,21,12,8,1,37,1.76,49,28,21
6,CESA ECNL GU14,Carolina Elite Soccer Academy,27972,21,10,7,4,34,1.62,36,24,12
7,Wilmington Hammerheads ECNL GU14,No Club Selection,35272,21,7,8,6,27,1.29,34,28,6
8,NC Fusion ECNL GU14,NC Fusion,35269,21,7,8,6,27,1.29,26,33,-7
9,Richmond United ECNL GU14,Richmond United,22314,12,4,7,1,13,1.08,28,31,-3
10,VDA ECNL GU14,Virginia Development Academy,35271,12,4,7,1,13,1.08,16,25,-9
11,South Carolina United ECNL GU14,South Carolina United FC,35270,21,4,12,5,17,0.81,18,41,-23
12,NCFC Youth ECNL GU14,NCFC Youth,35268,21,2,19,0,6,0.29,15,60,-45
13,BRYC Elite Academy ECNL GU14,Fairfax Virginia Union,11957,12,0,10,2,2,0.17,10,42,-32
