date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-09-12,01:00 PM,Bracket,Richmond United ECNL GU17,1,0,Loudoun Soccer ECNL GU17,West Creek,Field 6,On Time,194334
2020-09-12,02:00 PM,Bracket,NC Courage ECNL GU17,4,0,Wilmington Hammerheads ECNL GU17,WRAL Soccer Complex,WRAL 06 Stadium,On Time,194335
2020-09-12,02:00 PM,Bracket,NCFC Youth ECNL GU17,5,2,NC Fusion ECNL GU17,WRAL Soccer Center,Office Mart #13,On Time,194336
2020-09-12,03:00 PM,Bracket,CESA ECNL GU17,3,5,Charlotte SA ECNL GU17,Mesa Soccer Complex,Field 2,On Time,194338
2020-09-12,04:00 PM,Bracket,Charlotte Independence ECNL GU17,1,0,South Carolina United ECNL GU17,Bailey Road Park,Field 1 (upper),On Time,194337
2020-09-13,10:00 AM,Bracket,BRYC Elite Academy ECNL GU17,0,2,McLean YSA ECNL GU17,Robinson High School,Upper Turf,On Time,194339
2020-09-13,10:00 AM,Bracket,NC Fusion ECNL GU17,3,2,NC Courage ECNL GU17,Truist Sports Park,Field 2,On Time,194340
2020-09-13,03:00 PM,Bracket,Wilmington Hammerheads ECNL GU17,0,1,NCFC Youth ECNL GU17,Cape Fear Regional Soccer Park,Field 4,On Time,194341
2020-09-13,03:00 PM,Bracket,Charlotte Independence ECNL GU17,2,1,CESA ECNL GU17,Bailey Road Park,Field 1 (upper),On Time,194342
2020-09-19,10:00 AM,Bracket,Charlotte SA ECNL GU17,2,1,Charlotte Independence ECNL GU17,OrthoCarolina Sportsplex,Field 5,On Time,194348
2020-09-19,11:00 AM,Bracket,VDA ECNL GU17,3,0,Loudoun Soccer ECNL GU17,Ali Krieger Sports Complex (AKSC),Field 7,On Time,194343
2020-09-19,01:00 PM,Bracket,Richmond United ECNL GU17,4,0,BRYC Elite Academy ECNL GU17,West Creek,Field 6,On Time,194344
2020-09-19,02:00 PM,Bracket,NC Courage ECNL GU17,1,0,South Carolina United ECNL GU17,WRAL Soccer Complex,WRAL 06 Stadium,On Time,194345
2020-09-19,02:00 PM,Bracket,NCFC Youth ECNL GU17,1,4,CESA ECNL GU17,WRAL Soccer Center,visitRaleigh #10,On Time,194346
2020-09-19,02:00 PM,Bracket,NC Fusion ECNL GU17,3,1,Wilmington Hammerheads ECNL GU17,Truist Soccer Complex at Bryan Park,BP 08 Secret,On Time,194347
2020-09-20,11:00 AM,Bracket,NC Courage ECNL GU17,2,0,CESA ECNL GU17,WRAL Soccer Complex,WRAL 06 Stadium,On Time,194349
2020-09-20,11:00 AM,Bracket,NCFC Youth ECNL GU17,0,0,South Carolina United ECNL GU17,Wake Competition Center,Field 2,On Time,194350
2020-09-20,11:00 AM,Bracket,Charlotte SA ECNL GU17,0,1,NC Fusion ECNL GU17,OrthoCarolina Sportsplex,Field 5,On Time,194351
2020-09-26,11:00 AM,Bracket,VDA ECNL GU17,3,0,BRYC Elite Academy ECNL GU17,Ali Krieger Sports Complex (AKSC),Field 7,On Time,194353
2020-09-26,03:00 PM,Bracket,McLean YSA ECNL GU17,0,2,Richmond United ECNL GU17,Lewinsville Park,Field 2,On Time,194352
2020-09-26,03:00 PM,Bracket,NC Fusion ECNL GU17,1,0,South Carolina United ECNL GU17,Truist Soccer Complex at Bryan Park,BP 08 Secret,On Time,194356
2020-09-26,04:00 PM,Bracket,NC Courage ECNL GU17,0,3,Charlotte SA ECNL GU17,WRAL Soccer Complex,WRAL 05 First Watch,On Time,194354
