rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Richmond United ECNL GU13,Richmond United,46822,12,9,1,2,29,2.42,46,5,41,GU13,ECNL
2,NC Courage ECNL GU13,NC Courage Academy,44728,21,15,1,5,50,2.38,60,9,51,GU13,ECNL
3,VDA ECNL GU13,Virginia Development Academy,46823,12,8,0,4,28,2.33,29,7,22,GU13,ECNL
4,CESA ECNL GU13,Carolina Elite Soccer Academy,46817,21,13,1,7,46,2.19,57,14,43,GU13,ECNL
5,Charlotte SA ECNL GU13,Charlotte Soccer Academy,44721,21,12,3,6,42,2.0,50,23,27,GU13,ECNL
6,Loudoun Soccer ECNL GU13,Northern Virginia Alliance,46824,12,5,4,3,18,1.5,17,23,-6,GU13,ECNL
7,South Carolina United ECNL GU13,South Carolina United FC,43173,21,6,7,8,26,1.24,23,21,2,GU13,ECNL
8,Charlotte Independence ECNL GU13,Charlotte Independence SC,28376,21,5,10,6,21,1.0,21,35,-14,GU13,ECNL
9,Wilmington Hammerheads ECNL GU13,Wilmington Hammerheads,46818,21,6,13,2,20,0.95,22,46,-24,GU13,ECNL
10,McLean YSA ECNL GU13,Fairfax Virginia Union,46827,12,2,8,2,8,0.67,19,32,-13,GU13,ECNL
11,NC Fusion ECNL GU13,NC Fusion,13888,21,1,19,1,4,0.19,11,83,-72,GU13,ECNL
12,BRYC Elite Academy ECNL GU13,Fairfax Virginia Union,11956,12,0,11,1,1,0.08,6,50,-44,GU13,ECNL
1,McLean YSA ECNL GU14,Fairfax Virginia Union,25892,12,10,2,0,30,2.5,39,9,30,GU14,ECNL
2,Loudoun Soccer ECNL GU14,Northern Virginia Alliance,35287,12,10,2,0,30,2.5,26,12,14,GU14,ECNL
3,Charlotte SA ECNL GU14,Charlotte Soccer Academy,44722,21,14,2,5,47,2.24,33,11,22,GU14,ECNL
