date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-09-12,09:00 AM,Bracket,FC Wisconsin ECNL GU17,2,1,Michigan Hawks Magic ECNL GU17,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,172161
2020-09-12,09:00 AM,Bracket,Eclipse Select SC North ECNL GU17,,,Vardar ECNL GU17,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,172162
2020-09-12,01:00 PM,Bracket,Gretna Elite Academy ECNL GU17,2,2,SLSG White ECNL GU17,College Boulevard Athletic Complex,Field 1,On Time,172160
2020-09-13,09:00 AM,Bracket,FC Wisconsin ECNL GU17,1,1,Vardar ECNL GU17,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,172165
2020-09-13,09:00 AM,Bracket,Eclipse Select SC North ECNL GU17,,,Michigan Hawks Magic ECNL GU17,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,172166
2020-09-13,11:00 AM,Bracket,Kansas City Athletics ECNL GU17,1,2,SLSG Navy ECNL GU17,College Boulevard Activity Complex,Football Field,On Time,172159
2020-09-13,11:00 AM,Bracket,Kansas City Athletics ECNL GU17,3,0,SLSG White ECNL GU17,College Boulevard Activity Complex,Football Field,On Time,172163
2020-09-13,01:00 PM,Bracket,Gretna Elite Academy ECNL GU17,1,3,SLSG Navy ECNL GU17,College Boulevard Athletic Complex,Field 1,On Time,172164
2020-09-19,10:00 AM,Bracket,Vardar ECNL GU17,0,3,Michigan Hawks ECNL GU17,Oakland University,Field 1,On Time,172168
2020-09-19,01:00 PM,Bracket,Michigan Hawks Magic ECNL GU17,2,2,Eclipse Select SC ECNL GU17,,,On Time,172167
2020-09-20,01:00 PM,Bracket,Vardar ECNL GU17,1,0,Eclipse Select SC ECNL GU17,The Plex,Field 6,On Time,172169
2020-10-02,06:00 PM,Bracket,Michigan Hawks ECNL GU17,5,0,Michigan Hawks Magic ECNL GU17,Schoolcraft Turf,SC Turf,On Time,172158
2020-10-10,01:00 PM,Bracket,SLSG Navy ECNL GU17,1,1,Michigan Hawks ECNL GU17,Grand Park Sports Campus,Field 2,On Time,172171
2020-10-10,01:00 PM,Bracket,Kansas City Athletics ECNL GU17,1,2,Vardar ECNL GU17,Indiana Elite FC Soccer Complex,Field 1,On Time,172175
2020-10-10,01:00 PM,Bracket,SLSG White ECNL GU17,1,1,Michigan Hawks Magic ECNL GU17,Grand Park Sports Campus,Field 3,On Time,172177
2020-10-10,01:00 PM,Bracket,Gretna Elite Academy ECNL GU17,2,2,FC Wisconsin ECNL GU17,Indiana Elite FC Soccer Complex,Field 3,On Time,172202
2020-10-11,09:00 AM,Bracket,Vardar ECNL GU17,2,1,Gretna Elite Academy ECNL GU17,Indiana Elite Soccer Complex,Field 3,On Time,172188
2020-10-11,12:00 PM,Bracket,Michigan Hawks ECNL GU17,5,0,SLSG White ECNL GU17,Grand Park Sports Campus,Field 2,On Time,172180
2020-10-11,12:00 PM,Bracket,Michigan Hawks Magic ECNL GU17,0,2,SLSG Navy ECNL GU17,Grand Park Sports Campus,Field 3,On Time,172186
2020-10-11,02:00 PM,Bracket,FC Wisconsin ECNL GU17,0,0,Kansas City Athletics ECNL GU17,Indiana Elite FC Soccer Complex,Field 3,On Time,172203
2020-10-24,12:30 PM,Bracket,SLSG White ECNL GU17,,,Eclipse Select SC North ECNL GU17,Trinity Sports Park,Field 1,On Time,172191
2020-10-24,03:30 PM,Bracket,SLSG Navy ECNL GU17,1,0,Eclipse Select SC ECNL GU17,Heartland Sports Memorial Stadium,Field 1,On Time,172190
2020-10-25,09:00 AM,Bracket,FC Wisconsin ECNL GU17,0,2,Michigan Hawks ECNL GU17,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,172192
2020-10-25,01:45 PM,Bracket,Eclipse Select SC North ECNL GU17,,,SLSG Navy ECNL GU17,Trinity Sports Park,Field 1,On Time,172204
2020-10-25,02:00 PM,Bracket,Gretna Elite Academy ECNL GU17,0,3,Kansas City Athletics ECNL GU17,Papillion Landing ,#1 Turf,On Time,172189
2020-10-31,TBD,Bracket,Eclipse Select SC North ECNL GU17,,,FC Wisconsin ECNL GU17,,,On Time,172174
2020-10-31,01:00 PM,Bracket,Gretna Elite Academy ECNL GU17,3,0,Michigan Hawks Magic ECNL GU17,The TBK Bank Sports Complex LLC,Field 8,On Time,172173
2020-10-31,01:00 PM,Bracket,SLSG Navy ECNL GU17,1,1,Vardar ECNL GU17,"The TBK Bank Sports Complex, LLC",Field 3,On Time,172182
2020-10-31,03:00 PM,Bracket,Kansas City Athletics ECNL GU17,0,1,Michigan Hawks ECNL GU17,"The TBK Bank Sports Complex, LLC",Field 7,On Time,172185
2020-11-01,12:00 PM,Bracket,Vardar ECNL GU17,,,SLSG White ECNL GU17,"The TBK Bank Sports Complex, LLC",Field 7,On Time,172172
2020-11-01,12:00 PM,Bracket,Michigan Hawks ECNL GU17,1,1,Gretna Elite Academy ECNL GU17,"The TBK Bank Sports Complex, LLC",Field 4,On Time,172176
2020-11-01,12:00 PM,Bracket,FC Wisconsin ECNL GU17,0,2,SLSG Navy ECNL GU17,"The TBK Bank Sports Complex, LLC",Field 3,On Time,172179
2020-11-01,12:00 PM,Bracket,Michigan Hawks Magic ECNL GU17,1,0,Kansas City Athletics ECNL GU17,"The TBK Bank Sports Complex, LLC",Field 1,On Time,172181
2020-11-04,05:30 PM,Bracket,Michigan Hawks Magic ECNL GU17,0,0,Vardar ECNL GU17,St. Joe's Sports Complex,Outdoor Turf,On Time,172193
