rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL GU17,Michigan Hawks,19898,10,8,0,2,26,2.6,30,2,28
2,SLSG Navy ECNL GU17,St. Louis Scott Gallagher,11284,8,6,0,2,20,2.5,16,4,12
3,Minnesota Thunder ECNL GU17,No Club Selection,11564,7,4,1,2,14,2.0,20,11,9
4,Vardar ECNL GU17,Vardar,11556,8,3,1,4,13,1.63,9,9,0
5,Kansas City Athletics ECNL GU17,KC Athletics,19378,10,4,5,1,13,1.3,17,14,3
6,Gretna Elite Academy ECNL GU17,No Club Selection,10865,10,2,3,5,11,1.1,13,15,-2
7,FC Wisconsin ECNL GU17,FC Wisconsin Girls,11558,9,2,4,3,9,1.0,9,19,-10
8,Eclipse Select SC ECNL GU17,Eclipse Select Soccer Club,11557,9,2,5,2,8,0.89,12,15,-3
9,Michigan Hawks Magic ECNL GU17,Michigan Hawks,11315,9,1,5,3,6,0.67,5,18,-13
10,SLSG White ECNL GU17,St. Louis Scott Gallagher,11563,6,0,4,2,2,0.33,5,18,-13
11,Eclipse Select SC North ECNL GU17,Eclipse Select Soccer Club,20190,4,0,4,0,0,0.0,2,13,-11
