date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-09-12,02:30 PM,Bracket,FC Wisconsin ECNL GU18/U19,2,2,Michigan Hawks Magic ECNL GU18/U19,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,172216
2020-09-12,03:00 PM,Bracket,Gretna Elite Academy ECNL GU18/U19,2,2,SLSG White ECNL GU18/U19,College Boulevard Athletic Complex,Field 1,On Time,172215
2020-09-12,04:00 PM,Bracket,Eclipse Select SC North ECNL GU18/U19,1,2,Vardar ECNL GU18/U19,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,172217
2020-09-12,06:00 PM,Bracket,Kansas City Athletics ECNL GU18/U19,1,3,SLSG Navy ECNL GU18/U19,College Boulevard Activity Complex,Soccer Field,On Time,172214
2020-09-13,11:00 AM,Bracket,Eclipse Select SC North ECNL GU18/U19,6,0,Michigan Hawks Magic ECNL GU18/U19,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,172221
2020-09-13,02:30 PM,Bracket,FC Wisconsin ECNL GU18/U19,0,1,Vardar ECNL GU18/U19,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,172220
2020-09-13,03:00 PM,Bracket,Kansas City Athletics ECNL GU18/U19,3,2,SLSG White ECNL GU18/U19,College Boulevard Activity Complex,Football Field,On Time,172218
2020-09-13,03:00 PM,Bracket,Gretna Elite Academy ECNL GU18/U19,0,3,SLSG Navy ECNL GU18/U19,College Boulevard Athletic Complex,Field 1,On Time,172219
2020-09-19,08:00 AM,Bracket,Vardar ECNL GU18/U19,1,5,Michigan Hawks ECNL GU18/U19,Oakland University,Field 1,On Time,172223
2020-09-19,03:00 PM,Bracket,Michigan Hawks Magic ECNL GU18/U19,1,8,Eclipse Select SC ECNL GU18/U19,,,On Time,172222
2020-09-20,03:00 PM,Bracket,Vardar ECNL GU18/U19,1,8,Eclipse Select SC ECNL GU18/U19,The Plex,Field 6,On Time,172224
2020-10-03,04:00 PM,Bracket,Michigan Hawks ECNL GU18/U19,2,1,Michigan Hawks Magic ECNL GU18/U19,Schoolcraft Turf,SC Turf,On Time,172213
2020-10-10,03:00 PM,Bracket,SLSG Navy ECNL GU18/U19,3,2,Michigan Hawks ECNL GU18/U19,Grand Park Sports Campus,Field 2,On Time,172226
