rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Eclipse Select SC ECNL GU13,Eclipse Select Soccer Club,46760,14,11,1,2,35,2.5,52,5,47,GU13,East
2,Eclipse Select SC North ECNL GU13,Eclipse Select Soccer Club,46762,13,8,4,1,25,1.92,18,15,3,GU13,East
3,FC Wisconsin ECNL GU13,FC Wisconsin Girls,46764,15,3,11,1,10,0.67,10,40,-30,GU13,East
4,Vardar ECNL GU13,Vardar,46776,15,0,15,0,0,0.0,0,54,-54,GU13,East
1,SLSG Navy ECNL GU13,St. Louis Scott Gallagher,46768,14,11,2,1,34,2.43,35,7,28,GU13,West
2,Kansas City Athletics ECNL GU13,KC Athletics,46766,14,6,3,5,23,1.64,32,18,14,GU13,West
3,Minnesota Thunder ECNL GU13,Minnesota Thunder Academy,46774,14,3,7,4,13,0.93,16,20,-4,GU13,West
4,Gretna Elite Academy ECNL GU13,Gretna Elite Academy,46765,13,1,12,0,3,0.23,7,54,-47,GU13,West
1,Eclipse Select SC ECNL GU14,Eclipse Select Soccer Club,13614,14,10,3,1,31,2.21,34,15,19,GU14,East
2,Michigan Hawks  ECNL GU14,Michigan Hawks,35251,15,9,2,4,31,2.07,31,7,24,GU14,East
3,Michigan Hawks Magic ECNL GU14,Michigan Hawks,35252,13,3,8,2,11,0.85,18,24,-6,GU14,East
4,FC Wisconsin ECNL GU14,FC Wisconsin Girls,35250,14,3,9,2,11,0.79,13,43,-30,GU14,East
5,Eclipse Select SC North ECNL GU14,Eclipse Select Soccer Club,35248,15,3,10,2,11,0.73,22,42,-20,GU14,East
6,Vardar ECNL GU14,Vardar,35255,15,0,15,0,0,0.0,0,48,-48,GU14,East
1,SLSG Navy ECNL GU14,St. Louis Scott Gallagher,34464,13,11,1,1,34,2.62,37,6,31,GU14,West
2,Minnesota Thunder ECNL GU14,No Club Selection,35253,13,9,2,2,29,2.23,26,7,19,GU14,West
3,SLSG White ECNL GU14,St. Louis Scott Gallagher,35254,14,6,5,3,21,1.5,22,19,3,GU14,West
4,Gretna Elite Academy ECNL GU14,No Club Selection,35249,14,6,6,2,20,1.43,19,21,-2,GU14,West
5,Kansas City Athletics ECNL GU14,KC Athletics,33175,14,5,4,5,20,1.43,23,13,10,GU14,West
1,Minnesota Thunder ECNL GU15,No Club Selection,20378,6,5,0,1,16,2.67,23,5,18,GU15,ECNL
2,SLSG Navy ECNL GU15,St. Louis Scott Gallagher,20075,8,5,0,3,18,2.25,33,3,30,GU15,ECNL
3,Kansas City Athletics ECNL GU15,KC Athletics,19672,9,6,2,1,19,2.11,23,9,14,GU15,ECNL
4,Michigan Hawks ECNL GU15,Michigan Hawks,19884,10,5,0,5,20,2.0,23,8,15,GU15,ECNL
