date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-12-12,03:00 PM,Bracket,World Class FC ECNL GU18/U19,1,0,SUSA FC ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,173332
2021-03-06,08:30 AM,Bracket,Connecticut FC ECNL GU18/U19,3,4,East Meadow SC ECNL GU18/U19,CFC Park,Field 2,On Time,173339
2021-03-06,12:30 PM,Bracket,FSA FC ECNL GU18/U19,2,1,World Class FC ECNL GU18/U19,FSA-Farmington Sports Arena,Field 8,On Time,173340
2021-03-08,07:45 PM,Bracket,FC Stars Blue ECNL GU18/U19,5,0,FC Stars White ECNL GU18/U19,FC Stars Complex,Field 1,On Time,173338
2021-03-20,10:30 AM,Bracket,East Meadow SC ECNL GU18/U19,2,0,World Class FC ECNL GU18/U19,East Meadow Field of Dreams,North Turf,On Time,173355
2021-03-27,01:00 PM,Bracket,Connecticut FC ECNL GU18/U19,2,2,FC Stars White ECNL GU18/U19,CFC Park,Field 2,On Time,173354
2021-03-27,01:30 PM,Bracket,Scorpions Soccer ECNL GU18/U19,0,7,FC Stars Blue ECNL GU18/U19,Fruit Street Fields,Field 2,On Time,173353
2021-03-28,08:00 AM,Bracket,Connecticut FC ECNL GU18/U19,1,4,FC Stars Blue ECNL GU18/U19,CFC Park,Field 1,On Time,173357
2021-03-28,11:00 AM,Bracket,East Meadow SC ECNL GU18/U19,0,6,PDA White ECNL GU18/U19,East Meadow Field of Dreams,North Turf,On Time,173360
2021-03-28,12:10 PM,Bracket,SUSA FC ECNL GU18/U19,0,2,World Class FC ECNL GU18/U19,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,173359
2021-03-28,02:30 PM,Bracket,Scorpions Soccer ECNL GU18/U19,2,0,FC Stars White ECNL GU18/U19,Medway High School,Lamson Field(Middle Field),On Time,173358
2021-04-10,12:30 PM,Bracket,FSA FC ECNL GU18/U19,2,1,SUSA FC ECNL GU18/U19,FSA-Farmington Sports Arena,Field 8,On Time,173347
2021-04-11,02:00 PM,Bracket,FC Stars Blue ECNL GU18/U19,5,0,Connecticut FC ECNL GU18/U19,FC Stars Complex,Field 1,On Time,173352
2021-04-17,03:45 PM,Bracket,World Class FC ECNL GU18/U19,0,2,PDA White ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,173362
2021-04-17,03:50 PM,Bracket,SUSA FC ECNL GU18/U19,0,1,East Meadow SC ECNL GU18/U19,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,173364
2021-04-17,04:30 PM,Bracket,Scorpions Soccer ECNL GU18/U19,2,6,FSA FC ECNL GU18/U19,Medway High School,North Field (Lower Turf),On Time,173363
2021-04-17,05:45 PM,Bracket,FC Stars White ECNL GU18/U19,2,0,Connecticut FC ECNL GU18/U19,FC Stars Soccer Complex,Field 1 ,On Time,173361
2021-04-18,10:30 AM,Bracket,SUSA FC ECNL GU18/U19,1,1,PDA White ECNL GU18/U19,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,173368
2021-04-18,12:00 PM,Bracket,Scorpions Soccer ECNL GU18/U19,3,2,Connecticut FC ECNL GU18/U19,Progin Park,Field 8,On Time,173367
2021-04-18,03:30 PM,Bracket,World Class FC ECNL GU18/U19,1,0,East Meadow SC ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,173366
