rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,SUSA FC ECNL GU13,SUSA FC,14509,16,13,1,2,41,2.56,32,11,21,GU13,ECNL
2,FC Stars Blue ECNL GU13,FC Stars,36636,15,12,2,1,37,2.47,35,9,26,GU13,ECNL
3,World Class FC ECNL GU13,World Class FC,36640,15,10,3,2,32,2.13,34,15,19,GU13,ECNL
4,East Meadow SC ECNL GU13,East Meadow Soccer Club,36634,16,9,6,1,28,1.75,21,16,5,GU13,ECNL
5,PDA White ECNL GU13,PDA White (Shore),11460,14,5,5,4,19,1.36,12,13,-1,GU13,ECNL
6,Connecticut FC ECNL GU13,Connecticut FC,46829,15,6,8,1,19,1.27,20,21,-1,GU13,ECNL
7,FC Stars White ECNL GU13,FC Stars,36635,15,2,11,2,8,0.53,15,39,-24,GU13,ECNL
8,FSA FC ECNL GU13,FSA FC,25539,15,2,12,1,7,0.47,16,35,-19,GU13,ECNL
9,Scorpions Soccer ECNL GU13,Scorpions SC,36639,15,1,12,2,5,0.33,10,36,-26,GU13,ECNL
1,Connecticut FC ECNL GU14,Connecticut FC,24089,15,13,1,1,40,2.67,43,10,33,GU14,ECNL
2,SUSA FC ECNL GU14,SUSA FC,33738,16,11,3,2,35,2.19,43,12,31,GU14,ECNL
3,World Class FC ECNL GU14,World Class FC,35284,16,8,5,3,27,1.69,23,19,4,GU14,ECNL
4,PDA White ECNL GU14,PDA White (Shore),6860,15,8,6,1,25,1.67,24,21,3,GU14,ECNL
5,Scorpions Soccer ECNL GU14,No Club Selection,35282,15,6,9,0,18,1.2,16,25,-9,GU14,ECNL
6,FC Stars Blue ECNL GU14,FC Stars,35278,16,5,7,4,19,1.19,18,27,-9,GU14,ECNL
7,FC Stars White ECNL GU14,FC Stars,21552,16,5,9,2,17,1.06,21,23,-2,GU14,ECNL
8,East Meadow SC ECNL GU14,East Meadow Soccer Club,35274,16,5,9,2,17,1.06,16,29,-13,GU14,ECNL
9,FSA FC ECNL GU14,FSA FC,14745,15,1,13,1,4,0.27,6,44,-38,GU14,ECNL
1,Connecticut FC ECNL GU15,Connecticut FC,11478,16,12,3,1,37,2.31,36,12,24,GU15,ECNL
2,SUSA FC ECNL GU15,SUSA FC,20356,16,11,3,2,35,2.19,35,15,20,GU15,ECNL
3,World Class FC ECNL GU15,World Class FC,20357,15,10,4,1,31,2.07,28,10,18,GU15,ECNL
4,East Meadow SC ECNL GU15,East Meadow Soccer Club,35275,16,7,5,4,25,1.56,22,20,2,GU15,ECNL
5,FC Stars Blue ECNL GU15,FC Stars,19883,15,6,7,2,20,1.33,28,24,4,GU15,ECNL
6,Scorpions Soccer ECNL GU15,Scorpions SC,20355,16,6,8,2,20,1.25,15,29,-14,GU15,ECNL
7,FC Stars White ECNL GU15,FC Stars,20345,15,5,9,1,16,1.07,18,18,0,GU15,ECNL
8,PDA White ECNL GU15,Players Development Academy,1827,15,3,8,4,13,0.87,10,24,-14,GU15,ECNL
9,FSA FC ECNL GU15,FSA FC,9180,16,1,14,1,4,0.25,9,49,-40,GU15,ECNL
