date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-02-06,05:15 PM,Bracket,FC Delco ECNL GU17,0,2,FC Bucks ECNL GU17,Proving Grounds,2,On Time,173804
2021-02-27,04:30 PM,Bracket,Pipeline SC ECNL GU17,2,3,Bethesda SC ECNL GU17,Mercy High School,Field 1,On Time,173781
2021-02-28,01:30 PM,Bracket,FC Delco ECNL GU17,0,1,Maryland United ECNL GU17,Delaware Sports Turf Complex,Field 4,On Time,173784
2021-03-06,12:30 PM,Bracket,Penn Fusion ECNL GU17,1,1,FC Bucks ECNL GU17,USTC,Zach Steffen Field,On Time,173807
2021-03-07,01:30 PM,Bracket,FC Delco ECNL GU17,0,1,Pipeline SC ECNL GU17,Proving Grounds,2,On Time,173791
2021-03-13,03:30 PM,Bracket,Penn Fusion ECNL GU17,5,1,FC Delco ECNL GU17,USTC,Zach Steffen Field,On Time,173794
2021-03-13,06:00 PM,Bracket,PDA Blue ECNL GU17,7,1,Match Fit Academy ECNL GU17,PDA Main Complex,Field 5,On Time,173793
2021-03-20,04:00 PM,Bracket,PDA Blue ECNL GU17,4,0,Penn Fusion ECNL GU17,PDA Main Complex,Field 5,On Time,173773
2021-03-20,04:00 PM,Bracket,Match Fit Academy ECNL GU17,4,1,FC Delco ECNL GU17,Morris Catholic High School,Field 2 Lower,On Time,173774
2021-03-21,04:00 PM,Bracket,PDA Blue ECNL GU17,5,1,FC Delco ECNL GU17,PDA Main Complex,Field 5,On Time,173777
2021-03-21,04:00 PM,Bracket,Match Fit Academy ECNL GU17,0,0,Penn Fusion ECNL GU17,Morris Catholic High School,Field 2 Lower,On Time,173778
2021-03-27,10:00 AM,Bracket,Pipeline SC ECNL GU17,1,1,PDA South ECNL GU17,Mercy High School,Field 1,On Time,173798
2021-03-27,04:00 PM,Bracket,Match Fit Academy ECNL GU17,0,1,FC Bucks ECNL GU17,Morris Catholic High School,Field 2 Lower,On Time,173790
2021-04-10,09:00 AM,Bracket,Pipeline SC ECNL GU17,0,1,FC Bucks ECNL GU17,Mercy High School,Field 1,On Time,173800
2021-04-17,10:30 AM,Bracket,Penn Fusion ECNL GU17,3,0,PDA South ECNL GU17,USTC,Zach Steffen Field,On Time,173803
2021-04-17,03:30 PM,Bracket,Bethesda SC ECNL GU17,0,0,FC Delco ECNL GU17,Wootton High School,Stadium,On Time,173819
2021-04-17,04:00 PM,Bracket,PDA Blue ECNL GU17,0,1,Maryland United ECNL GU17,PDA Main Complex,Field 3,On Time,173801
2021-04-17,05:30 PM,Bracket,Match Fit Academy ECNL GU17,1,1,Pipeline SC ECNL GU17,Morris Catholic High School,Field 2 Lower,On Time,173802
2021-04-18,12:30 PM,Bracket,Penn Fusion ECNL GU17,3,1,Bethesda SC ECNL GU17,USTC,Zach Steffen Field,On Time,173792
2021-04-18,02:00 PM,Bracket,PDA Blue ECNL GU17,2,1,Pipeline SC ECNL GU17,PDA Main Complex,Field 5,On Time,173805
2021-04-18,02:30 PM,Bracket,Match Fit Academy ECNL GU17,3,2,Maryland United ECNL GU17,Morris Catholic High School,Field 2 Lower,On Time,173806
2021-04-18,03:00 PM,Bracket,FC Delco ECNL GU17,1,2,PDA South ECNL GU17,Proving Grounds,1,On Time,173808
2021-04-20,08:00 PM,Bracket,PDA Blue ECNL GU17,1,2,PDA South ECNL GU17,PDA Main Complex,Field 5,On Time,173789
2021-04-24,10:00 AM,Bracket,Pipeline SC ECNL GU17,0,2,Match Fit Academy ECNL GU17,Mercy High School,Field 1,On Time,173765
2021-04-24,12:00 PM,Bracket,Maryland United ECNL GU17,0,2,PDA Blue ECNL GU17,Indian Creek,Field 1,On Time,173766
2021-04-24,12:00 PM,Bracket,PDA South ECNL GU17,2,1,FC Delco ECNL GU17,Westampton Sports Complex,Field 2,On Time,173771
2021-04-24,03:45 PM,Bracket,Bethesda SC ECNL GU17,1,2,FC Bucks ECNL GU17,Walter Johnson High School ,Stadium,On Time,173776
2021-04-25,09:00 AM,Bracket,Pipeline SC ECNL GU17,1,2,PDA Blue ECNL GU17,Mercy High School,Field 1,On Time,173769
2021-04-25,11:00 AM,Bracket,Maryland United ECNL GU17,0,2,Match Fit Academy ECNL GU17,Indian Creek,Field 1,On Time,173770
2021-04-25,12:30 PM,Bracket,FC Bucks ECNL GU17,1,0,Penn Fusion ECNL GU17,Council Rock North High School,Turf Field,On Time,173772
