rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,PDA Blue ECNL GU13,PDA Blue (North),3701,15,14,1,0,42,2.8,58,7,51,GU13,ECNL
2,Penn Fusion ECNL GU13,Penn Fusion Soccer Academy,44737,16,12,3,1,37,2.31,33,13,20,GU13,ECNL
3,Pipeline SC ECNL GU13,Pipeline SC,45827,16,11,5,0,33,2.06,36,14,22,GU13,ECNL
4,Match Fit Academy ECNL GU13,Match Fit Surf,34505,15,8,5,2,26,1.73,21,22,-1,GU13,ECNL
5,Maryland United ECNL GU13,No Club Selection,36637,16,8,6,2,26,1.63,19,24,-5,GU13,ECNL
6,FC Bucks ECNL GU13,HEX FC,26917,16,6,8,2,20,1.25,18,22,-4,GU13,ECNL
7,FC Delco ECNL GU13,FC DELCO,36383,16,2,11,3,9,0.56,7,39,-32,GU13,ECNL
8,PDA South ECNL GU13,PDA South,1815,16,2,12,2,8,0.5,8,34,-26,GU13,ECNL
9,Bethesda SC ECNL GU13,Bethesda SC,46815,16,1,13,2,5,0.31,10,35,-25,GU13,ECNL
1,PDA Blue ECNL GU14,PDA Blue (North),1967,15,15,0,0,45,3.0,72,4,68,GU14,ECNL
2,Match Fit Academy ECNL GU14,Match Fit Surf,34504,14,9,3,2,29,2.07,30,11,19,GU14,ECNL
3,Bethesda SC ECNL GU14,Bethesda SC,35273,14,9,5,0,27,1.93,34,17,17,GU14,ECNL
4,Penn Fusion ECNL GU14,No Club Selection,44736,15,8,6,1,25,1.67,27,16,11,GU14,ECNL
5,PDA South ECNL GU14,PDA South,1840,16,6,7,3,21,1.31,23,28,-5,GU14,ECNL
6,FC Delco ECNL GU14,FC DELCO,12575,16,7,9,0,21,1.31,19,26,-7,GU14,ECNL
7,Maryland United ECNL GU14,No Club Selection,35283,14,5,6,3,18,1.29,20,23,-3,GU14,ECNL
8,FC Bucks ECNL GU14,HEX FC,33878,16,4,11,1,13,0.81,23,48,-25,GU14,ECNL
9,Pipeline SC ECNL GU14,Pipeline SC,45828,16,0,16,0,0,0.0,5,80,-75,GU14,ECNL
1,Bethesda SC ECNL GU15,Bethesda SC,20341,15,12,1,2,38,2.53,40,8,32,GU15,ECNL
2,PDA Blue ECNL GU15,PDA Blue (North),1822,14,11,2,1,34,2.43,35,8,27,GU15,ECNL
3,Penn Fusion ECNL GU15,Penn Fusion Soccer Academy,44735,16,9,5,2,29,1.81,20,16,4,GU15,ECNL
4,FC Bucks ECNL GU15,HEX FC,20344,16,6,6,4,22,1.38,16,16,0,GU15,ECNL
