date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-09-13,09:00 AM,Group Play,Real Colorado National ECNL GU13,2,0,Pride SC ECNL GU13,Real Colorado Soccer Complex,RCSC 2,On Time,209147
2020-09-13,09:00 AM,Group Play,Colorado Rapids ECNL GU13,5,0,Real Colorado Athletico ECNL GU13,Gates South Soccer Complex,5,On Time,209153
2020-09-19,09:00 AM,Group Play,Real Colorado National ECNL GU13,3,0,Real Colorado Athletico ECNL GU13,Real Colorado Soccer Complex,RCSC 1,On Time,210443
2020-09-19,12:00 PM,Group Play,Pride SC ECNL GU13,0,3,Colorado Rapids ECNL GU13,Pride Soccer Complex,Field 1,On Time,209159
2020-09-26,09:00 AM,Bracket,Real Colorado Athletico ECNL GU13,0,1,Pride SC ECNL GU13,Real Colorado Soccer Complex,RCSC 2,On Time,207054
2020-09-26,01:30 PM,Bracket,Colorado Rapids ECNL GU13,1,1,Real Colorado National ECNL GU13,Gates South Soccer Complex,5,On Time,207055
2020-10-03,09:00 AM,Bracket,Real Colorado Athletico ECNL GU13,0,1,Colorado Rapids ECNL GU13,Real Colorado Soccer Complex,RCSC 1,On Time,207056
2020-10-03,12:00 PM,Bracket,Pride SC ECNL GU13,0,2,Real Colorado National ECNL GU13,Pride Soccer Complex,Field 1,On Time,207057
2020-10-24,09:00 AM,Bracket,Real Colorado Athletico ECNL GU13,0,3,Real Colorado National ECNL GU13,Real Colorado Soccer Complex,RCSC 1,On Time,207059
2020-10-24,11:15 AM,Bracket,Colorado Rapids ECNL GU13,3,0,Pride SC ECNL GU13,Gates South Soccer Complex,5,On Time,207058
2021-02-27,01:00 PM,Bracket,Pride SC ECNL GU13,5,2,La Roca FC ECNL GU13,Pride Soccer Complex,Field 3,On Time,207071
2021-02-27,01:30 PM,Bracket,Colorado Rapids ECNL GU13,5,0,Utah Avalanche ECNL GU13,Douglas County Fairgrounds,Field #5,On Time,207070
2021-02-28,09:00 AM,Bracket,Pride SC ECNL GU13,3,3,Utah Avalanche ECNL GU13,Pride Soccer Complex,Field 3,On Time,207072
2021-02-28,01:30 PM,Bracket,Colorado Rapids ECNL GU13,3,3,La Roca FC ECNL GU13,Dick's Sporting Goods Park,DSGP - 8,On Time,207073
2021-03-21,09:00 AM,Bracket,Pride SC ECNL GU13,3,0,Real Colorado Athletico ECNL GU13,Pride Soccer Complex,Field 1,On Time,207061
2021-03-27,09:00 AM,Bracket,Utah Avalanche ECNL GU13,1,1,Real Colorado Athletico ECNL GU13,Legacy Events Center,Field 2,On Time,207078
2021-03-27,02:00 PM,Bracket,La Roca FC ECNL GU13,0,4,Real Colorado National ECNL GU13,Spence Eccles Ogden Community Sports Complex,Field 2,On Time,207079
2021-03-28,09:00 AM,Bracket,Utah Avalanche ECNL GU13,1,1,Real Colorado National ECNL GU13,Legacy Events Center,Field 2,On Time,207081
2021-03-28,02:00 PM,Bracket,La Roca FC ECNL GU13,0,0,Real Colorado Athletico ECNL GU13,La Roca Park,Field 2,On Time,207080
2021-04-03,09:00 AM,Bracket,Real Colorado National ECNL GU13,2,0,Colorado Rapids ECNL GU13,Real Colorado Soccer Complex,RCSC 1,On Time,207060
2021-04-17,09:00 AM,Bracket,Real Colorado National ECNL GU13,5,0,Utah Avalanche ECNL GU13,Real Colorado Soccer Complex,RCSC 1,On Time,207066
2021-04-17,09:00 AM,Bracket,Real Colorado Athletico ECNL GU13,1,0,La Roca FC ECNL GU13,Highland Heritage Regional Park,HHRP West,On Time,207067
2021-04-18,09:00 AM,Bracket,Real Colorado Athletico ECNL GU13,2,0,Utah Avalanche ECNL GU13,Highland Heritage Regional Park,HHRP West,On Time,207068
2021-04-18,09:00 AM,Bracket,Real Colorado National ECNL GU13,1,0,La Roca FC ECNL GU13,Real Colorado Soccer Complex,RCSC 1,On Time,207069
2021-04-18,01:00 PM,Bracket,Utah Avalanche ECNL GU13,1,1,Pride SC ECNL GU13,Legacy Events Center,Field 1,On Time,207065
2021-04-24,08:30 AM,Bracket,La Roca FC ECNL GU13,2,1,Pride SC ECNL GU13,La Roca Park,Field 1,On Time,207063
2021-04-24,09:00 AM,Bracket,Utah Avalanche ECNL GU13,1,3,Colorado Rapids ECNL GU13,Woods Cross High School,Field 1,On Time,207062
2021-04-25,11:30 AM,Bracket,La Roca FC ECNL GU13,1,2,Colorado Rapids ECNL GU13,Legacy Events Center,Field 1 #2021,On Time,207064
2021-05-16,02:00 PM,Bracket,La Roca FC ECNL GU13,1,5,Utah Avalanche ECNL GU13,Legacy Events Center,Field 3 #2025,On Time,207086
2021-05-23,09:00 AM,Bracket,Utah Avalanche ECNL GU13,1,6,La Roca FC ECNL GU13,Legacy Events Center,Field 1,On Time,207087
