date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-11-07,09:30 AM,Bracket,Crossfire United ECNL GU15,5,2,Portland Thorns Academy ECNL GU15,Mountain View Champions Park,Field 3,On Time,208056
2020-11-14,02:30 PM,Bracket,Portland Thorns Academy ECNL GU15,7,0,FC Portland ECNL GU15,Mt View Champions Park,Field 2,On Time,208093
2020-11-21,02:30 PM,Bracket,FC Portland ECNL GU15,0,4,Portland Thorns Academy ECNL GU15,Mountain View Champions Park,Field 2,On Time,208046
2020-12-05,09:00 AM,Bracket,Crossfire United ECNL GU15,5,0,FC Portland ECNL GU15,Mountain View Champions Park,Field 2,On Time,208094
2020-12-06,02:00 PM,Bracket,FC Portland ECNL GU15,0,4,Crossfire United ECNL GU15,Liberty High School,Clive Charles Field,On Time,208062
2020-12-13,11:30 AM,Bracket,Portland Thorns Academy ECNL GU15,1,3,Crossfire United ECNL GU15,Mt View Champions Park,Field 3,On Time,208089
2021-02-06,11:00 AM,Bracket,Washington Premier ECNL GU15,1,0,Eastside FC ECNL GU15,WPFC Field Complex,Field 3,On Time,208067
2021-02-06,11:00 AM,Bracket,Pacific Northwest SC ECNL GU15,4,0,Seattle United ECNL GU15,Starfire Sports,Field 4,On Time,208103
2021-02-20,11:00 AM,Bracket,Seattle United ECNL GU15,1,2,Crossfire Premier ECNL GU15,Shoreline A/B fields,Field A,On Time,208054
2021-02-21,11:00 AM,Bracket,Pacific Northwest SC ECNL GU15,2,3,Eastside FC ECNL GU15,Starfire Sports,Field 3,On Time,208063
2021-02-28,01:00 PM,Bracket,Eastside FC ECNL GU15,2,0,Seattle United ECNL GU15,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,208087
2021-02-28,03:00 PM,Bracket,Crossfire Premier ECNL GU15,1,1,Pacific Northwest SC ECNL GU15,Marymoor Park,#3 (Turf),On Time,208082
2021-03-06,01:00 PM,Bracket,Eastside FC ECNL GU15,0,0,Washington Premier ECNL GU15,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,208061
2021-03-07,11:00 AM,Bracket,Seattle United ECNL GU15,3,5,Pacific Northwest SC ECNL GU15,Shoreline A/B fields,Field A,On Time,208091
2021-03-13,11:00 AM,Bracket,Washington Premier ECNL GU15,1,1,Seattle United ECNL GU15,WPFC Field Complex,Field 4,On Time,208043
2021-03-14,01:00 PM,Bracket,Pacific Northwest SC ECNL GU15,0,2,Crossfire Premier ECNL GU15,Starfire Sports,Field 3,On Time,208086
2021-03-21,11:00 AM,Bracket,Eastside FC ECNL GU15,0,1,Pacific Northwest SC ECNL GU15,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,208055
2021-03-21,03:00 PM,Bracket,Crossfire Premier ECNL GU15,3,0,Seattle United ECNL GU15,Marymoor Park,#3 (Turf),On Time,208100
2021-03-27,04:30 PM,Bracket,Seattle United ECNL GU15,3,5,Washington Premier ECNL GU15,Ingraham High School,North,On Time,208081
2021-04-18,11:00 AM,Bracket,Washington Premier ECNL GU15,1,0,Crossfire Premier ECNL GU15,WPFC Field Complex,Field 4,On Time,208102
2021-04-24,01:00 PM,Bracket,Crossfire Premier ECNL GU15,1,2,Portland Thorns Academy ECNL GU15,Marymoor Park,#3 (Turf),On Time,208065
2021-04-24,02:00 PM,Bracket,Seattle United ECNL GU15,4,2,Boise Thorns FC ECNL GU15,Ingraham High School,North,On Time,208066
2021-04-25,11:00 AM,Bracket,Seattle United ECNL GU15,0,2,Portland Thorns Academy ECNL GU15,Jane Addams ,North/South,On Time,208068
2021-04-25,11:00 AM,Bracket,Crossfire Premier ECNL GU15,7,0,Boise Thorns FC ECNL GU15,Marymoor Park,#1 (Turf),On Time,208069
2021-04-25,11:00 AM,Bracket,Washington Premier ECNL GU15,4,1,Pacific Northwest SC ECNL GU15,WPFC Field Complex,Field 3,On Time,208074
2021-05-01,09:00 AM,Bracket,FC Portland ECNL GU15,2,0,Boise Thorns FC ECNL GU15,Liberty High School,Stadium Field,On Time,208114
2021-05-01,11:30 AM,Group Play,Crossfire United ECNL GU15,0,0,Portland Thorns Academy ECNL GU15,Mountain View Champions Park,Field 3,On Time,233513
2021-05-01,02:00 PM,Bracket,Eastside FC ECNL GU15,0,3,Crossfire Premier ECNL GU15,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,208090
2021-05-02,11:30 AM,Bracket,Crossfire United ECNL GU15,6,0,Boise Thorns FC ECNL GU15,Sherwood High School,Upper,On Time,208112
2021-05-02,02:30 PM,Group Play,Portland Thorns Academy ECNL GU15,5,1,FC Portland ECNL GU15,Mt View Champions Park,Field 2,On Time,233520
2021-05-08,01:00 PM,Bracket,Crossfire Premier ECNL GU15,0,0,Crossfire United ECNL GU15,Marymoor Park,#4 (Turf),On Time,208076
2021-05-08,02:00 PM,Bracket,Eastside FC ECNL GU15,0,2,Portland Thorns Academy ECNL GU15,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,208051
2021-05-08,02:45 PM,Bracket,Seattle United ECNL GU15,2,0,FC Portland ECNL GU15,Shoreline A/B fields,Field A,On Time,208077
2021-05-08,03:00 PM,Group Play,Pacific Northwest SC ECNL GU15,0,2,Washington Premier ECNL GU15,Starfire Sports,Field 4,On Time,232618
2021-05-09,11:00 AM,Bracket,Crossfire Premier ECNL GU15,3,0,FC Portland ECNL GU15,Marymoor Park,#2 (Turf),On Time,208079
2021-05-09,11:30 AM,Bracket,Seattle United ECNL GU15,3,4,Crossfire United ECNL GU15,Nathan Hale High School,Stadium,On Time,208078
2021-05-09,05:00 PM,Bracket,Boise Thorns FC ECNL GU15,2,3,Eastside FC ECNL GU15,Boise Timbers|Thorns - Soccer Complex,Field 2,On Time,208044
2021-05-15,09:00 AM,Bracket,FC Portland ECNL GU15,2,3,Washington Premier ECNL GU15,Hillsboro High School (Hillhi) Stadium Turf Field,Field 1,On Time,208105
2021-05-15,01:00 PM,Bracket,Boise Thorns FC ECNL GU15,0,1,Portland Thorns Academy ECNL GU15,Boise Timbers|Thorns - Soccer Complex,Field 2,On Time,208107
2021-05-15,02:30 PM,Bracket,Crossfire United ECNL GU15,3,0,Pacific Northwest SC ECNL GU15,PCC Rock Creek,Field 1,On Time,208106
2021-05-16,11:30 AM,Bracket,FC Portland ECNL GU15,0,1,Pacific Northwest SC ECNL GU15,Liberty High School,Stadium Field,On Time,208109
2021-05-16,01:30 PM,Bracket,Seattle United ECNL GU15,0,3,Eastside FC ECNL GU15,Twin Ponds,Field 1,On Time,208104
2021-05-16,02:30 PM,Bracket,Crossfire United ECNL GU15,2,2,Washington Premier ECNL GU15,PCC Rock Creek,Field 1,On Time,208108
2021-05-22,12:00 PM,Bracket,Crossfire Premier ECNL GU15,0,1,Washington Premier ECNL GU15,Grass Lawn Park,Field 2,On Time,208080
2021-05-22,02:00 PM,Bracket,Crossfire United ECNL GU15,0,1,Eastside FC ECNL GU15,PCC Rock Creek,Field 2,On Time,208113
2021-05-23,02:00 PM,Bracket,FC Portland ECNL GU15,1,0,Eastside FC ECNL GU15,Liberty High School,Clive Charles Field,On Time,208111
2021-05-25,07:30 PM,Group Play,FC Portland ECNL GU15,0,4,Crossfire United ECNL GU15,Liberty High School,Stadium Field,On Time,233526
2021-05-27,05:00 PM,Bracket,Crossfire Premier ECNL GU15,2,5,Eastside FC ECNL GU15,Marymoor Park,#3 (Turf),On Time,208084
2021-06-05,TBD,Bracket,Boise Thorns FC ECNL GU15,0,7,Washington Premier ECNL GU15,,,On Time,208095
2021-06-05,11:00 AM,Bracket,Portland Thorns Academy ECNL GU15,2,0,Pacific Northwest SC ECNL GU15,Tualatin Hills Recreation Center (THPRD),Field 2,On Time,208096
