date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-04-17,09:00 AM,Bracket,Mustang SC ECNL GU18/U19,1,0,Pleasanton Rage ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,207829
2021-04-17,12:00 PM,Bracket,Marin FC ECNL GU18/U19,0,0,Santa Rosa United ECNL GU18/U19,Trione Fields,Trioine East,On Time,207782
2021-04-17,07:00 PM,Bracket,MVLA ECNL GU18/U19,2,1,DeAnza Forece ECNL GU18/U19,Crittenden ,Field 1,On Time,207779
2021-04-24,10:00 AM,Bracket,Davis Legacy ECNL GU18/U19,2,4,San Juan SC ECNL GU18/U19,Davis Legacy Soccer Complex,Field 9,On Time,207780
2021-04-24,05:00 PM,Bracket,Pleasanton Rage ECNL GU18/U19,1,2,DeAnza Forece ECNL GU18/U19,Val Vista,Field 3,On Time,207820
2021-05-01,09:00 AM,Bracket,San Juan SC ECNL GU18/U19,1,1,MVLA ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,207795
2021-05-01,02:15 PM,Bracket,DeAnza Forece ECNL GU18/U19,2,0,Davis Legacy ECNL GU18/U19,Morgan Hill Outdoor Sports Center,Field 2 (Soccer),On Time,207832
2021-05-01,04:00 PM,Bracket,Santa Rosa United ECNL GU18/U19,0,1,Pleasanton Rage ECNL GU18/U19,Trione Fields,Trione East,On Time,207797
2021-05-01,05:30 PM,Bracket,Marin FC ECNL GU18/U19,2,1,Mustang SC ECNL GU18/U19,Red Hill Community Park,Field 1,On Time,207801
2021-05-08,02:00 PM,Bracket,Santa Rosa United ECNL GU18/U19,0,7,Mustang SC ECNL GU18/U19,Trione Fields,Trione West,On Time,207787
2021-05-08,03:00 PM,Bracket,Pleasanton Rage ECNL GU18/U19,2,1,Marin FC ECNL GU18/U19,Val Vista,Field 3,On Time,207789
2021-05-08,07:00 PM,Bracket,MVLA ECNL GU18/U19,1,2,Davis Legacy ECNL GU18/U19,Crittenden,Field 1,On Time,207807
2021-05-15,09:00 AM,Bracket,Mustang SC ECNL GU18/U19,2,1,DeAnza Forece ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,207783
2021-05-15,09:00 AM,Bracket,MVLA ECNL GU18/U19,6,0,Santa Rosa United ECNL GU18/U19,Crittenden,Field 1,On Time,207802
2021-05-15,09:00 AM,Bracket,San Juan SC ECNL GU18/U19,2,2,Pleasanton Rage ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,207833
2021-05-15,06:15 PM,Bracket,Marin FC ECNL GU18/U19,3,0,Davis Legacy ECNL GU18/U19,College of Marin,Stadium,On Time,207784
2021-05-16,12:00 PM,Bracket,DeAnza Forece ECNL GU18/U19,5,1,San Juan SC ECNL GU18/U19,Morgan Hill Outdoor Sports Center,Field 2 (Soccer),On Time,207785
2021-05-22,09:00 AM,Bracket,San Juan SC ECNL GU18/U19,2,1,Santa Rosa United ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,207790
2021-05-22,10:00 AM,Bracket,Davis Legacy ECNL GU18/U19,0,4,Mustang SC ECNL GU18/U19,Davis Legacy Soccer Complex,Field 9,On Time,207825
2021-05-22,01:00 PM,Bracket,Pleasanton Rage ECNL GU18/U19,2,1,MVLA ECNL GU18/U19,Val Vista,Field 3,On Time,207811
2021-05-22,02:00 PM,Bracket,DeAnza Forece ECNL GU18/U19,1,0,Marin FC ECNL GU18/U19,Morgan Hill Outdoor Sports Center,Field 1 (Football),On Time,207798
2021-05-23,10:00 AM,Bracket,Santa Rosa United ECNL GU18/U19,,,Davis Legacy ECNL GU18/U19,Davis Legacy Soccer Complex,Field 9,On Time,207803
2021-05-23,11:00 AM,Bracket,Mustang SC ECNL GU18/U19,2,0,San Juan SC ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,207816
2021-05-23,05:00 PM,Bracket,MVLA ECNL GU18/U19,2,1,Marin FC ECNL GU18/U19,Crittenden,Field 1,On Time,207818
2021-06-02,05:30 PM,Bracket,Mustang SC ECNL GU18/U19,0,4,MVLA ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,207819
2021-06-05,12:00 PM,Bracket,Santa Rosa United ECNL GU18/U19,0,1,DeAnza Forece ECNL GU18/U19,Trione Fields,Trione West,On Time,207792
2021-06-06,03:00 PM,Bracket,San Juan SC ECNL GU18/U19,,,Marin FC ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,207806
2021-06-12,01:00 PM,Bracket,Davis Legacy ECNL GU18/U19,1,3,Pleasanton Rage ECNL GU18/U19,Davis Legacy Soccer Complex,Field 9,On Time,207793
