date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-04-17,TBD,Bracket,Davis Legacy ECNL GU18/U19 Composite,,,San Juan SC ECNL GU18/U19 Composite,,,On Time,207840
2021-04-17,TBD,Bracket,Marin FC ECNL GU18/U19 Composite,,,Santa Rosa United ECNL U18/U19 Composite,,,On Time,207842
2021-04-17,09:00 AM,Bracket,Mustang SC ECNL GU18/U19 Composite,2,1,Pleasanton Rage ECNL GU18/U19 Composite,Sycamore Park #2,Field 2,On Time,207889
2021-04-17,09:00 PM,Bracket,MVLA ECNL GU18/U19 Composite ,,,DeAnza Force ECNL GU18/U19 Composite,Crittenden,Field 1,On Time,207839
2021-05-01,TBD,Bracket,Marin FC ECNL GU18/U19 Composite,,,Mustang SC ECNL GU18/U19 Composite,,,On Time,207861
2021-05-01,TBD,Bracket,DeAnza Force ECNL GU18/U19 Composite,,,Davis Legacy ECNL GU18/U19 Composite,,,On Time,207892
2021-05-01,09:00 AM,Bracket,San Juan SC ECNL GU18/U19 Composite,,,MVLA ECNL GU18/U19 Composite ,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,207855
2021-05-01,02:00 PM,Bracket,Santa Rosa United ECNL U18/U19 Composite,,,Pleasanton Rage ECNL GU18/U19 Composite,Place to Play,Field 4,On Time,207857
2021-05-08,TBD,Bracket,DeAnza Force ECNL GU18/U19 Composite,,,San Juan SC ECNL GU18/U19 Composite,,,On Time,207845
2021-05-08,TBD,Bracket,MVLA ECNL GU18/U19 Composite ,,,Davis Legacy ECNL GU18/U19 Composite,Crittenden,Field 1,On Time,207867
2021-05-08,02:00 PM,Bracket,Santa Rosa United ECNL U18/U19 Composite,,,Mustang SC ECNL GU18/U19 Composite,Place to Play,Field 4,On Time,207847
2021-05-08,05:00 PM,Bracket,Pleasanton Rage ECNL GU18/U19 Composite,,,Marin FC ECNL GU18/U19 Composite,Val Vista,Field 2,On Time,207849
2021-05-15,12:00 PM,Bracket,Marin FC ECNL GU18/U19 Composite,,,Davis Legacy ECNL GU18/U19 Composite,,,On Time,207844
2021-05-15,04:30 PM,Bracket,Mustang SC ECNL GU18/U19 Composite,,,DeAnza Force ECNL GU18/U19 Composite,Provident Field @ MSC, Upper,On Time,207843
2021-05-15,07:00 PM,Bracket,San Juan SC ECNL GU18/U19 Composite,,,Pleasanton Rage ECNL GU18/U19 Composite,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,207893
2021-05-15,09:00 PM,Bracket,MVLA ECNL GU18/U19 Composite ,,,Santa Rosa United ECNL U18/U19 Composite,Crittenden ,Field 1,On Time,207862
2021-05-22,TBD,Bracket,DeAnza Force ECNL GU18/U19 Composite,,,Marin FC ECNL GU18/U19 Composite,,,On Time,207858
2021-05-22,TBD,Bracket,Pleasanton Rage ECNL GU18/U19 Composite,,,MVLA ECNL GU18/U19 Composite ,,,On Time,207871
2021-05-22,TBD,Bracket,Davis Legacy ECNL GU18/U19 Composite,,,Mustang SC ECNL GU18/U19 Composite,,,On Time,207885
2021-05-22,07:00 PM,Bracket,San Juan SC ECNL GU18/U19 Composite,,,Santa Rosa United ECNL U18/U19 Composite,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,207850
2021-05-23,TBD,Bracket,Mustang SC ECNL GU18/U19 Composite,,,San Juan SC ECNL GU18/U19 Composite,,,On Time,207876
2021-05-23,TBD,Bracket,Pleasanton Rage ECNL GU18/U19 Composite,,,DeAnza Force ECNL GU18/U19 Composite,,,On Time,207880
2021-05-23,02:00 PM,Bracket,Santa Rosa United ECNL U18/U19 Composite,,,Davis Legacy ECNL GU18/U19 Composite,Place to Play,Field 4,On Time,207863
2021-05-23,09:00 PM,Bracket,MVLA ECNL GU18/U19 Composite ,,,Marin FC ECNL GU18/U19 Composite,Crittenden ,Field 1,On Time,207878
2021-06-05,TBD,Bracket,Davis Legacy ECNL GU18/U19 Composite,,,Pleasanton Rage ECNL GU18/U19 Composite,,,On Time,207853
2021-06-05,TBD,Bracket,San Juan SC ECNL GU18/U19 Composite,,,Marin FC ECNL GU18/U19 Composite,,,On Time,207866
2021-06-05,TBD,Bracket,Mustang SC ECNL GU18/U19 Composite,,,MVLA ECNL GU18/U19 Composite ,,,On Time,207879
2021-06-05,02:00 PM,Bracket,Santa Rosa United ECNL U18/U19 Composite,,,DeAnza Force ECNL GU18/U19 Composite,Place to Play,Field 4,On Time,207852
