date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-02-06,09:00 AM,Bracket,Pacific Northwest SC ECNL GU18/U19 Composite,4,0,Seattle United ECNL GU18/U19 Composite,Starfire Sports,Field 3,On Time,208349
2021-02-06,01:00 PM,Bracket,Washington Premier ECNL GU18/U19 Composite,3,1,Eastside FC ECNL GU18/U19 Composite,WPFC Field Complex,Field 4,On Time,208336
2021-02-20,01:00 PM,Bracket,Seattle United ECNL GU18/U19 Composite,0,2,Crossfire Premier ECNL GU18/U19 Composite,Shoreline A/B fields,Field B,On Time,208332
2021-02-21,11:00 AM,Bracket,Pacific Northwest SC ECNL GU18/U19 Composite,2,0,Eastside FC ECNL GU18/U19 Composite,Starfire Sports,Field 4,On Time,208335
2021-02-28,11:00 AM,Bracket,Crossfire Premier ECNL GU18/U19 Composite,0,2,Pacific Northwest SC ECNL GU18/U19 Composite,Marymoor Park,#2 (Turf),On Time,208340
2021-02-28,03:00 PM,Bracket,Eastside FC ECNL GU18/U19 Composite,3,2,Seattle United ECNL GU18/U19 Composite,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,208343
2021-03-06,09:00 AM,Bracket,Eastside FC ECNL GU18/U19 Composite,2,1,Washington Premier ECNL GU18/U19 Composite,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,208334
2021-03-13,11:00 AM,Bracket,Washington Premier ECNL GU18/U19 Composite,0,1,Seattle United ECNL GU18/U19 Composite,WPFC Field Complex,Field 3,On Time,208331
2021-03-14,12:01 PM,Bracket,Pacific Northwest SC ECNL GU18/U19 Composite,2,2,Crossfire Premier ECNL GU18/U19 Composite,Starfire Sports,Field 1,On Time,208342
2021-03-21,11:00 AM,Bracket,Eastside FC ECNL GU18/U19 Composite,0,2,Pacific Northwest SC ECNL GU18/U19 Composite,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,208333
2021-03-21,01:00 PM,Bracket,Crossfire Premier ECNL GU18/U19 Composite,1,0,Seattle United ECNL GU18/U19 Composite,Marymoor Park,#2 (Turf),On Time,208346
2021-04-18,09:00 AM,Bracket,Seattle United ECNL GU18/U19 Composite,2,0,Eastside FC ECNL GU18/U19 Composite,Nathan Hale High School,Stadium,On Time,208350
2021-04-18,03:00 PM,Bracket,Washington Premier ECNL GU18/U19 Composite,0,1,Crossfire Premier ECNL GU18/U19 Composite,WPFC Field Complex,Field 3,On Time,208348
2021-04-25,11:00 AM,Bracket,Washington Premier ECNL GU18/U19 Composite,0,1,Pacific Northwest SC ECNL GU18/U19 Composite,WPFC Field Complex,Field 4,On Time,208337
2021-05-01,09:00 AM,Bracket,Seattle United ECNL GU18/U19 Composite,1,3,Pacific Northwest SC ECNL GU18/U19 Composite,Genesee Park Playfield,Lower,On Time,208345
2021-05-01,04:00 PM,Bracket,Eastside FC ECNL GU18/U19 Composite,1,3,Crossfire Premier ECNL GU18/U19 Composite,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,208344
2021-05-02,03:30 PM,Bracket,Seattle United ECNL GU18/U19 Composite,2,2,Washington Premier ECNL GU18/U19 Composite,Nathan Hale High School,Stadium,On Time,208339
2021-05-08,03:00 PM,Group Play,Pacific Northwest SC ECNL GU18/U19 Composite,1,0,Washington Premier ECNL GU18/U19 Composite,Starfire Sports,Field 3,On Time,232707
2021-05-22,11:30 AM,Bracket,Crossfire Premier ECNL GU18/U19 Composite,1,0,Washington Premier ECNL GU18/U19 Composite,Grass Lawn Park,Field 1,On Time,208338
2021-05-27,05:00 PM,Bracket,Crossfire Premier ECNL GU18/U19 Composite,6,0,Eastside FC ECNL GU18/U19 Composite,Grass Lawn Park,Field 1,On Time,208341
