date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-09-13,11:00 AM,Group Play,Real Colorado National ECNL GU18/U19,7,1,Pride SC ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,209152
2020-09-13,01:30 PM,Group Play,Colorado Rapids ECNL GU18/U19,5,1,Real Colorado Athletico ECNL GU18/U19,Gates South Soccer Complex,6,On Time,209158
2020-09-19,01:30 PM,Group Play,Real Colorado National ECNL GU18/U19,5,1,Real Colorado Athletico ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,210449
2020-09-19,02:00 PM,Group Play,Pride SC ECNL GU18/U19,3,4,Colorado Rapids ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,209164
2020-09-26,11:15 AM,Bracket,Real Colorado Athletico ECNL GU18/U19,3,2,Pride SC ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,207364
2020-09-26,01:30 PM,Bracket,Colorado Rapids ECNL GU18/U19,2,4,Real Colorado National ECNL GU18/U19,Gates South Soccer Complex,6,On Time,207365
2020-10-03,01:30 PM,Bracket,Real Colorado Athletico ECNL GU18/U19,3,2,Colorado Rapids ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,207366
2020-10-03,02:00 PM,Bracket,Pride SC ECNL GU18/U19,3,2,Real Colorado National ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,207367
2020-10-24,01:30 PM,Bracket,Colorado Rapids ECNL GU18/U19,3,1,Pride SC ECNL GU18/U19,Gates South Soccer Complex,6,On Time,207368
2020-10-24,01:30 PM,Bracket,Real Colorado Athletico ECNL GU18/U19,1,4,Real Colorado National ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,207369
2021-02-27,11:00 AM,Bracket,Pride SC ECNL GU18/U19,0,8,La Roca FC ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,207381
2021-02-27,01:30 PM,Bracket,Colorado Rapids ECNL GU18/U19,0,4,Utah Avalanche ECNL GU18/U19,Douglas County Fairgrounds,Field #6,On Time,207380
2021-02-28,11:00 AM,Bracket,Pride SC ECNL GU18/U19,0,5,Utah Avalanche ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,207382
2021-02-28,01:30 PM,Bracket,Colorado Rapids ECNL GU18/U19,2,3,La Roca FC ECNL GU18/U19,Dick's Sporting Goods Park,DSGP - 10,On Time,207383
2021-03-21,11:00 AM,Bracket,Pride SC ECNL GU18/U19,0,2,Real Colorado Athletico ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,207371
2021-03-27,09:00 AM,Bracket,Utah Avalanche ECNL GU18/U19,4,0,Real Colorado Athletico ECNL GU18/U19,Legacy Events Center,Field 1,On Time,207388
2021-03-27,10:00 AM,Bracket,La Roca FC ECNL GU18/U19,0,1,Real Colorado National ECNL GU18/U19,Spence Eccles Ogden Community Sports Complex,Field 2,On Time,207389
2021-03-28,09:00 AM,Bracket,Utah Avalanche ECNL GU18/U19,1,3,Real Colorado National ECNL GU18/U19,Legacy Events Center,Field 1,On Time,207391
2021-03-28,10:00 AM,Bracket,La Roca FC ECNL GU18/U19,2,0,Real Colorado Athletico ECNL GU18/U19,La Roca Park,Field 2,On Time,207390
2021-04-03,01:30 PM,Bracket,Real Colorado National ECNL GU18/U19,6,1,Colorado Rapids ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,207370
2021-04-17,01:30 PM,Bracket,Real Colorado National ECNL GU18/U19,2,1,Utah Avalanche ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,207376
2021-04-17,01:30 PM,Bracket,Real Colorado Athletico ECNL GU18/U19,0,6,La Roca FC ECNL GU18/U19,Highland Heritage Regional Park,HHRP Stadium,On Time,207377
2021-04-18,01:30 PM,Bracket,Real Colorado Athletico ECNL GU18/U19,1,3,Utah Avalanche ECNL GU18/U19,Highland Heritage Regional Park,HHRP Stadium,On Time,207378
2021-04-18,01:30 PM,Bracket,Real Colorado National ECNL GU18/U19,2,1,La Roca FC ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,207379
2021-04-24,11:00 AM,Bracket,Utah Avalanche ECNL GU18/U19,2,3,Colorado Rapids ECNL GU18/U19,Woods Cross High School,Field 1,On Time,207372
2021-04-24,01:30 PM,Bracket,La Roca FC ECNL GU18/U19,7,0,Pride SC ECNL GU18/U19,La Roca Park,Field 2,On Time,207373
2021-04-25,09:00 AM,Bracket,La Roca FC ECNL GU18/U19,4,1,Colorado Rapids ECNL GU18/U19,Legacy Events Center,Field 2 #2022,On Time,207374
2021-04-25,09:00 AM,Bracket,Utah Avalanche ECNL GU18/U19,2,0,Pride SC ECNL GU18/U19,Legacy Events Center,Field 2,On Time,207375
2021-05-16,09:00 AM,Bracket,La Roca FC ECNL GU18/U19,4,1,Utah Avalanche ECNL GU18/U19,Legacy Events Center,Field 4 #2026,On Time,207396
2021-05-23,09:00 AM,Bracket,Utah Avalanche ECNL GU18/U19,1,3,La Roca FC ECNL GU18/U19,Legacy Events Center,Field 1,On Time,207397
