date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-11-21,02:00 PM,Bracket,Racing Louisville Academy ECNL GU18/U19,1,2,FC Alliance ECNL GU18/U19,Lynn Family Sports Vision & Training Facility,Field 1,On Time,172880
2020-11-21,02:30 PM,Bracket,Ohio Elite Soccer Academy ECNL GU18/U19,0,3,Tennessee Soccer Club ECNL GU18/U19,Seven Hills School,Lower Field,On Time,172879
2020-11-21,03:30 PM,Bracket,Ohio Premier ECNL GU18/U19,2,4,Internationals SC ECNL GU18/U19,OP Training Facility,Field 1,On Time,172881
2020-11-22,09:00 AM,Bracket,Racing Louisville Academy ECNL GU18/U19,2,6,Tennessee Soccer Club ECNL GU18/U19,Lynn Family Sports Vision & Training Facility,Field 2,On Time,172885
2020-11-22,02:30 PM,Bracket,Ohio Elite Soccer Academy ECNL GU18/U19,5,2,FC Alliance ECNL GU18/U19,Seven Hills School,Lower Field,On Time,172884
2020-12-12,11:00 AM,Bracket,Racing Louisville Academy ECNL GU18/U19,2,3,Ohio Elite Soccer Academy ECNL GU18/U19,Lynn Family Sports Vision & Training Facility,Field 2,On Time,172890
2020-12-12,12:00 PM,Bracket,FC Alliance ECNL GU18/U19,0,2,Tennessee Soccer Club ECNL GU18/U19,Mayor Bob Leonard Park,Field 1,On Time,172895
2020-12-12,04:00 PM,Bracket,FC Pride Elite ECNL GU18/U19,0,4,Indiana Fire ECNL GU18/U19,Pride Performance Center (Turf),Field 1,On Time,172891
2020-12-19,04:00 PM,Bracket,FC Pride Elite ECNL GU18/U19,2,4,Ohio Elite Soccer Academy ECNL GU18/U19,Pride Performance Center (Turf),Field 1,On Time,172897
2020-12-19,04:30 PM,Bracket,Indiana Fire ECNL GU18/U19,4,2,Racing Louisville Academy ECNL GU18/U19,Grand Park,Field 3,On Time,172896
2020-12-20,03:30 PM,Bracket,Indiana Fire ECNL GU18/U19,1,3,Ohio Elite Soccer Academy ECNL GU18/U19,Grand Park,Field 3,On Time,172900
2020-12-20,04:00 PM,Bracket,FC Pride Elite ECNL GU18/U19,2,3,Racing Louisville Academy ECNL GU18/U19,Pride Performance Center (Turf),Field 1,On Time,172901
2021-02-27,12:30 PM,Bracket,Tennessee Soccer Club ECNL GU18/U19,2,1,Indiana Fire ECNL GU18/U19,Richard Siegel Soccer Complex,Field 1,On Time,172904
