rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Internationals SC ECNL GU18/U19,Internationals SC,7037,18,17,1,0,51,2.83,81,14,67
2,Tennessee Soccer Club ECNL GU18/U19,Tennessee SC,8454,18,14,3,1,43,2.39,48,22,26
3,Indiana Fire ECNL GU18/U19,Indy Eleven Academy,6924,18,12,4,2,38,2.11,43,17,26
4,Ohio Elite Soccer Academy ECNL GU18/U19,Ohio Elite Soccer Academy,6910,18,10,4,4,34,1.89,50,43,7
5,Pittsburgh Riverhounds ECNL GU18/U19,Pittsburgh Riverhounds,10890,17,6,9,2,20,1.18,32,42,-10
6,Ohio Premier ECNL GU18/U19,Ohio Premier,6929,16,4,7,5,17,1.06,26,30,-4
7,WNY Flash Academy ECNL GU18/U19,WNY Flash Academy,7052,17,4,8,5,17,1.0,30,36,-6
8,FC Alliance ECNL GU18/U19,FC Alliance TN,11604,18,4,13,1,13,0.72,18,54,-36
9,FC Pride Elite ECNL GU18/U19,No Club Selection,10872,18,3,12,3,12,0.67,22,52,-30
10,Racing Louisville Academy ECNL GU18/U19,Racing Louisville Academy,45898,18,1,14,3,6,0.33,20,60,-40
