rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU14,Solar SC,20122,4,4,0,0,12,3.0,23,1,22
2,Jacksonville FC ECNL GU14,No Club Selection,35265,4,4,0,0,12,3.0,14,4,10
3,So Cal Blues ECNL GU14,So Cal Blues,35189,4,4,0,0,12,3.0,9,2,7
4,LAFC Slammers ECNL GU14,Slammers FC HB Koge,8995,4,3,0,1,10,2.5,12,5,7
5,San Diego Surf ECNL GU14,San Diego Surf Soccer Club,45876,4,3,1,0,9,2.25,15,4,11
6,Indiana Fire ECNL GU14,Indy Eleven Academy,23407,4,3,1,0,9,2.25,10,4,6
7,Michigan Hawks  ECNL GU14,Michigan Hawks,35251,4,3,1,0,9,2.25,7,3,4
8,McLean YSA ECNL GU14,Fairfax Virginia Union,25892,3,2,1,0,6,2.0,7,1,6
9,PDA Blue ECNL GU14,PDA Blue (North),1967,3,2,1,0,6,2.0,9,5,4
10,Match Fit Academy ECNL GU14,Match Fit Surf,34504,3,2,1,0,6,2.0,9,6,3
11,San Juan SC ECNL GU14,San Juan Soccer Club,35173,3,2,1,0,6,2.0,8,6,2
12,SLSG Navy ECNL GU14,St. Louis Scott Gallagher,34464,3,2,1,0,6,2.0,8,7,1
13,MVLA ECNL GU14,MVLA,35169,4,2,1,1,7,1.75,9,10,-1
14,FC Dallas ECNL GU14,FC Dallas Youth,46783,3,1,0,2,5,1.67,9,4,5
15,Sting Dallas Royal ECNL GU14,Sting Soccer Club,45801,3,1,1,1,4,1.33,7,5,2
16,Real Colorado National ECNL GU14,Real Colorado,45854,3,1,1,1,4,1.33,2,2,0
17,Connecticut FC ECNL GU14,Connecticut FC,24089,3,1,1,1,4,1.33,3,4,-1
18,Charlotte SA ECNL GU14,Charlotte Soccer Academy,44722,3,1,1,1,4,1.33,3,6,-3
19,Internationals SC ECNL GU14,Internationals SC,35240,3,1,2,0,3,1.0,6,5,1
20,Bethesda SC ECNL GU14,Bethesda SC,35273,3,1,2,0,3,1.0,4,3,1
21,GSA ECNL GU14,Gwinnett Soccer Academy,33371,3,1,2,0,3,1.0,7,7,0
22,Orlando City ECNL GU14,Seminole United,35258,3,1,2,0,3,1.0,3,6,-3
23,Minnesota Thunder ECNL GU14,No Club Selection,35253,3,1,2,0,3,1.0,5,11,-6
24,Tennessee Soccer Club ECNL GU14,Tennessee SC,35277,3,1,2,0,3,1.0,4,11,-7
25,Crossfire Premier ECNL GU14,No Club Selection,26840,3,0,2,1,1,0.33,3,8,-5
26,Tampa Bay United Rowdies ECNL GU14,Tampa Bay United,21279,3,0,2,1,1,0.33,2,8,-6
27,Eagles SC ECNL GU14,No Club Selection,1153,3,0,3,0,0,0.0,4,11,-7
28,SUSA FC ECNL GU14,SUSA FC,33738,3,0,3,0,0,0.0,2,11,-9
29,Eclipse Select SC ECNL GU14,Eclipse Select Soccer Club,13614,3,0,3,0,0,0.0,3,13,-10
30,Loudoun Soccer ECNL GU14,Northern Virginia Alliance,35287,3,0,3,0,0,0.0,1,11,-10
31,Utah Avalanche ECNL 07,Utah Avalanche,35178,3,0,3,0,0,0.0,4,15,-11
32,FC Portland ECNL GU14,FC Portland Academy,35159,3,0,3,0,0,0.0,5,18,-13
