date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-07-02,09:30 AM,Bracket,Charlotte Independence ECNL GU15,4,0,Racing Louisville Academy ECNL U15,Premier Sports Campus,Field #15,On Time,244672
2021-07-02,09:30 AM,Bracket,Indiana Fire ECNL GU15,0,3,Maryland United ECNL GU15,Premier Sports Campus,Field #17,On Time,244673
2021-07-02,09:30 AM,Bracket,FC Alliance ECNL GU15,0,0,Florida Krush ECNL GU15,Premier Sports Campus,Field #13,On Time,244676
2021-07-02,09:30 AM,Bracket,FC Pride ECNL GU15,2,3,Tulsa SC ECNL GU15,Premier Sports Campus,Field #11,On Time,244677
2021-07-02,11:45 AM,Bracket,Phoenix Rising ECNL GU15,1,4,Match Fit Academy ECNL GU15,Premier Sports Campus,Field #16,On Time,244670
2021-07-02,11:45 AM,Bracket,LA Breakers FC ECNL GU15,3,0,PDA White ECNL GU15,Premier Sports Campus,Field #14,On Time,244671
2021-07-02,11:45 AM,Bracket,Ohio Elite Soccer Academy ECNL GU15,2,1,Rebels SC ECNL GU15,Premier Sports Campus,Field #18,On Time,244674
2021-07-02,11:45 AM,Bracket,Classics Elite  ECNL GU15,3,0,Santa Rosa United ECNL GU15,Premier Sports Campus,Field #20,On Time,244675
2021-07-03,09:30 AM,Bracket,Ohio Elite Soccer Academy ECNL GU15,0,0,Classics Elite  ECNL GU15,Premier Sports Campus,Field #19,On Time,244680
2021-07-03,09:30 AM,Bracket,Rebels SC ECNL GU15,4,1,Santa Rosa United ECNL GU15,Premier Sports Campus,Field #21,On Time,244689
2021-07-03,09:45 AM,Bracket,Charlotte Independence ECNL GU15,1,1,Maryland United ECNL GU15,Premier Sports Campus,Field #16,On Time,244679
2021-07-03,09:45 AM,Bracket,FC Alliance ECNL GU15,0,0,Tulsa SC ECNL GU15,Premier Sports Campus,Field #20,On Time,244681
2021-07-03,09:45 AM,Bracket,Racing Louisville Academy ECNL U15,0,2,Indiana Fire ECNL GU15,Premier Sports Campus,Field #18,On Time,244688
2021-07-03,09:45 AM,Bracket,Florida Krush ECNL GU15,0,3,FC Pride ECNL GU15,Premier Sports Campus,Field #22,On Time,244690
2021-07-03,11:30 AM,Bracket,Match Fit Academy ECNL GU15,2,0,LA Breakers FC ECNL GU15,Premier Sports Campus,Field #13,On Time,244678
2021-07-03,11:45 AM,Bracket,Phoenix Rising ECNL GU15,3,2,PDA White ECNL GU15,Premier Sports Campus,Field #22,On Time,244687
2021-07-05,09:30 AM,Bracket,Match Fit Academy ECNL GU15,,,Maryland United ECNL GU15,Premier Sports Campus,Field #05,On Time,244682
2021-07-05,09:30 AM,Bracket,LA Breakers FC ECNL GU15,,,Charlotte Independence ECNL GU15,Premier Sports Campus,Field #07,On Time,244685
2021-07-05,09:45 AM,Bracket,Phoenix Rising ECNL GU15,,,Indiana Fire ECNL GU15,Premier Sports Campus,Field #22,On Time,244691
2021-07-05,09:45 AM,Bracket,PDA White ECNL GU15,,,Racing Louisville Academy ECNL U15,Premier Sports Campus,Field #14,On Time,244693
2021-07-05,11:30 AM,Bracket,Ohio Elite Soccer Academy ECNL GU15,,,Tulsa SC ECNL GU15,Premier Sports Campus,Field #01,On Time,244683
2021-07-05,11:30 AM,Bracket,Classics Elite  ECNL GU15,,,FC Alliance ECNL GU15,Premier Sports Campus,Field #19,On Time,244686
2021-07-05,11:30 AM,Bracket,Santa Rosa United ECNL GU15,,,Florida Krush ECNL GU15,Premier Sports Campus,Field #21,On Time,244694
2021-07-05,11:45 AM,Bracket,Rebels SC ECNL GU15,,,FC Pride ECNL GU15,Premier Sports Campus,Field #20,On Time,244692
2021-07-07,10:30 AM,Bracket,Winner Game 13,,,Winner Game 14,Premier Sports Campus,Field #03,On Time,244684
