date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-07-01,07:45 AM,Bracket,FSA FC ECNL GU16,1,4,Sporting Blue Valley RL GU16,Premier Sports Campus,Field #16,On Time,244893
2021-07-01,07:45 AM,Bracket,Racing Louisville Academy ECNL U16,2,3,Space Coast United RL GU16 (05),Premier Sports Campus,Field #18,On Time,244894
2021-07-01,07:45 AM,Bracket,Dallas Texans ECNL GU16,1,3,Pleasanton RAGE RL GU16,Premier Sports Campus,Field #20,On Time,244895
2021-07-01,07:45 AM,Bracket,FC Stars White ECNL GU16,1,0,Orlando City ECNL GU16,Premier Sports Campus,Field #22,On Time,244896
2021-07-01,11:45 AM,Bracket,AHFC ECNL GU16,0,2,Beach FC RL GU16,Premier Sports Campus,Field #16,On Time,244897
2021-07-01,11:45 AM,Bracket,Del Mar Sharks ECNL GU16,1,2,Cleveland Force SC RL GU16,Premier Sports Campus,Field #18,On Time,244898
2021-07-01,11:45 AM,Bracket,AZ Arsenal ECNL GU16,4,0,Solar SC RL GU16,Premier Sports Campus,Field #22,On Time,244899
2021-07-01,11:45 AM,Bracket,CESA ECNL GU16,3,0,PDA Blue RL GU16,Premier Sports Campus,Field #20,On Time,244900
2021-07-02,07:30 AM,Bracket,Pleasanton RAGE RL GU16,2,1,FC Stars White ECNL GU16,Premier Sports Campus,Field #05,On Time,244902
2021-07-02,07:30 AM,Bracket,Dallas Texans ECNL GU16,1,3,Orlando City ECNL GU16,Premier Sports Campus,Field #11,On Time,244911
2021-07-02,07:45 AM,Bracket,Sporting Blue Valley RL GU16,5,0,Space Coast United RL GU16 (05),Premier Sports Campus,Field #08,On Time,244901
2021-07-02,07:45 AM,Bracket,FSA FC ECNL GU16,2,1,Racing Louisville Academy ECNL U16,Premier Sports Campus,Field #12,On Time,244910
2021-07-02,09:30 AM,Bracket,Beach FC RL GU16,3,2,Cleveland Force SC RL GU16,Premier Sports Campus,Field #07,On Time,244903
2021-07-02,09:30 AM,Bracket,AZ Arsenal ECNL GU16,0,4,CESA ECNL GU16,Premier Sports Campus,Field #05,On Time,244904
2021-07-02,09:45 AM,Bracket,AHFC ECNL GU16,4,0,Del Mar Sharks ECNL GU16,Premier Sports Campus,Field #08,On Time,244912
2021-07-02,09:45 AM,Bracket,Solar SC RL GU16,1,3,PDA Blue RL GU16,Premier Sports Campus,Field #10,On Time,244913
2021-07-04,07:30 AM,Bracket,Beach FC RL GU16,3,0,CESA ECNL GU16,Premier Sports Campus,Field #11,On Time,244906
2021-07-04,07:30 AM,Bracket,Del Mar Sharks ECNL GU16,1,1,Solar SC RL GU16,Premier Sports Campus,Field #01,On Time,244917
2021-07-04,07:45 AM,Bracket,Cleveland Force SC RL GU16,4,1,AZ Arsenal ECNL GU16,Premier Sports Campus,Field #12,On Time,244909
2021-07-04,07:45 AM,Bracket,AHFC ECNL GU16,6,0,PDA Blue RL GU16,Premier Sports Campus,Field #02,On Time,244915
2021-07-04,09:30 AM,Bracket,Sporting Blue Valley RL GU16,5,3,Pleasanton RAGE RL GU16,Premier Sports Campus,Field #15,On Time,244905
2021-07-04,09:30 AM,Bracket,Space Coast United RL GU16 (05),2,3,FC Stars White ECNL GU16,Premier Sports Campus,Field #21,On Time,244908
2021-07-04,09:30 AM,Bracket,FSA FC ECNL GU16,2,1,Orlando City ECNL GU16,Premier Sports Campus,Field #01,On Time,244914
2021-07-04,09:45 AM,Bracket,Racing Louisville Academy ECNL U16,2,3,Dallas Texans ECNL GU16,Premier Sports Campus,Field #02,On Time,244916
2021-07-06,10:30 AM,Bracket,Sporting Blue Valley RL GU16,0,3,Beach FC RL GU16,Premier Sports Campus,Field #06,On Time,244907
