date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-06-30,07:30 AM,Bracket,Tampa Bay United Rowdies ECNL GU17,2,3,WNY Flash Academy ECNL GU17,Premier Sports Campus,Field #13,On Time,244970
2021-06-30,07:30 AM,Bracket,Pacific Northwest SC ECNL GU17,1,3,Penn Fusion ECNL GU17,Premier Sports Campus,Field #15,On Time,244971
2021-06-30,07:30 AM,Bracket,Internationals SC ECNL GU17,3,4,Alabama FC ECNL GU17,Premier Sports Campus,Field #01,On Time,244972
2021-06-30,07:30 AM,Bracket,Charlotte Independence ECNL GU17,2,1,Santa Rosa United ECNL GU17,Premier Sports Campus,Field #03,On Time,244973
2021-06-30,09:30 AM,Bracket,AHFC ECNL GU17,3,1,Atlanta Fire United ECNL GU17,Premier Sports Campus,Field #17,On Time,244966
2021-06-30,09:30 AM,Bracket,VDA ECNL GU17,3,0,FC Bucks ECNL GU17,Premier Sports Campus,Field #19,On Time,244967
2021-06-30,09:45 AM,Bracket,Kansas City Athletics ECNL GU17,4,4,GSA ECNL GU17,Premier Sports Campus,Field #18,On Time,244968
2021-06-30,09:45 AM,Bracket,Colorado Rapids ECNL GU17,3,1,Connecticut FC ECNL GU17,Premier Sports Campus,Field #20,On Time,244969
2021-07-01,09:30 AM,Bracket,AHFC ECNL GU17,1,0,VDA ECNL GU17,Premier Sports Campus,Field #07,On Time,244974
2021-07-01,09:30 AM,Bracket,Atlanta Fire United ECNL GU17,1,0,FC Bucks ECNL GU17,Premier Sports Campus,Field #11,On Time,244983
2021-07-01,09:30 AM,Bracket,Tampa Bay United Rowdies ECNL GU17,0,0,Pacific Northwest SC ECNL GU17,Premier Sports Campus,Field #21,On Time,244985
2021-07-01,09:45 AM,Bracket,WNY Flash Academy ECNL GU17,1,1,Penn Fusion ECNL GU17,Premier Sports Campus,Field #02,On Time,244976
2021-07-01,11:30 AM,Bracket,GSA ECNL GU17,1,1,Colorado Rapids ECNL GU17,Premier Sports Campus,Field #07,On Time,244975
2021-07-01,11:30 AM,Bracket,Alabama FC ECNL GU17,0,2,Charlotte Independence ECNL GU17,Premier Sports Campus,Field #03,On Time,244977
2021-07-01,11:30 AM,Bracket,Kansas City Athletics ECNL GU17,3,1,Connecticut FC ECNL GU17,Premier Sports Campus,Field #11,On Time,244984
2021-07-01,11:30 AM,Bracket,Internationals SC ECNL GU17,3,2,Santa Rosa United ECNL GU17,Premier Sports Campus,Field #21,On Time,244986
2021-07-03,11:45 AM,Bracket,AHFC ECNL GU17,2,1,GSA ECNL GU17,Premier Sports Campus,Field #10,On Time,244978
2021-07-03,11:45 AM,Bracket,VDA ECNL GU17,2,4,Colorado Rapids ECNL GU17,Premier Sports Campus,Field #08,On Time,244981
2021-07-03,11:45 AM,Bracket,Atlanta Fire United ECNL GU17,2,3,Kansas City Athletics ECNL GU17,Premier Sports Campus,Field #12,On Time,244987
2021-07-03,11:45 AM,Bracket,FC Bucks ECNL GU17,2,4,Connecticut FC ECNL GU17,Premier Sports Campus,Field #14,On Time,244989
2021-07-03,01:30 PM,Bracket,WNY Flash Academy ECNL GU17,4,2,Charlotte Independence ECNL GU17,Premier Sports Campus,Field #05,On Time,244979
2021-07-03,01:30 PM,Bracket,Penn Fusion ECNL GU17,1,4,Alabama FC ECNL GU17,Premier Sports Campus,Field #03,On Time,244982
2021-07-03,01:45 PM,Bracket,Pacific Northwest SC ECNL GU17,0,3,Internationals SC ECNL GU17,Premier Sports Campus,Field #12,On Time,244988
2021-07-03,01:45 PM,Bracket,Tampa Bay United Rowdies ECNL GU17,3,3,Santa Rosa United ECNL GU17,Premier Sports Campus,Field #14,On Time,244990
2021-07-05,09:45 AM,Bracket,AHFC ECNL GU17,0,1,WNY Flash Academy ECNL GU17,Premier Sports Campus,Field #06,On Time,244980
