date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-06-30,07:30 AM,Bracket,So Cal Blues ECNL GU18/U19 Composite,6,0,FC Bucks ECNL GU18/U19 Composite,Premier Sports Campus,Field #05,On Time,245091
2021-06-30,07:30 AM,Bracket,Atlanta Fire United ECNL GU18/U19 Composite,0,5,Solar SC ECNL GU18/U19 Composite ,Premier Sports Campus,Field #11,On Time,245092
2021-06-30,11:45 AM,Bracket,FC Stars Blue ECNL U18/U19 Composite,2,0,Legends FC RL GU18/U19,Premier Sports Campus,Field #08,On Time,245093
2021-06-30,11:45 AM,Bracket,Pacific Northwest SC ECNL GU18/U19 Composite,2,3,Sting Dallas Royal ECNL GU18/U19 Composite ,Premier Sports Campus,Field #06,On Time,245094
2021-07-01,07:30 AM,Bracket,So Cal Blues ECNL GU18/U19 Composite,3,1,Solar SC ECNL GU18/U19 Composite ,Premier Sports Campus,Field #07,On Time,245095
2021-07-01,07:30 AM,Bracket,FC Bucks ECNL GU18/U19 Composite,2,1,Atlanta Fire United ECNL GU18/U19 Composite,Premier Sports Campus,Field #13,On Time,245099
2021-07-01,01:30 PM,Bracket,FC Stars Blue ECNL U18/U19 Composite,1,3,Sting Dallas Royal ECNL GU18/U19 Composite ,Premier Sports Campus,Field #19,On Time,245096
2021-07-01,01:30 PM,Bracket,Legends FC RL GU18/U19,7,0,Pacific Northwest SC ECNL GU18/U19 Composite,Premier Sports Campus,Field #21,On Time,245100
2021-07-03,11:30 AM,Bracket,So Cal Blues ECNL GU18/U19 Composite,2,0,Sting Dallas Royal ECNL GU18/U19 Composite ,Premier Sports Campus,Field #03,On Time,245097
2021-07-03,11:30 AM,Bracket,Solar SC ECNL GU18/U19 Composite ,2,3,FC Stars Blue ECNL U18/U19 Composite,Premier Sports Campus,Field #15,On Time,245098
2021-07-03,11:30 AM,Bracket,So Cal Blues ECNL GU18/U19 Composite,0,7,FC Stars Blue ECNL U18/U19 Composite,Premier Sports Campus,Field #17,On Time,245101
2021-07-03,11:45 AM,Bracket,Sting Dallas Royal ECNL GU18/U19 Composite ,1,1,Solar SC ECNL GU18/U19 Composite ,Premier Sports Campus,Field #16,On Time,245102
