date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-07-04,01:30 PM,Bracket,East Meadow SC ECNL GU18/U19,2,0,Tampa Bay United Rowdies ECNL GU18/U19,Premier Sports Campus,Field #07,On Time,245362
2021-07-04,01:30 PM,Group Play,AHFC ECNL GU18/U19,0,3,FC Wisconsin ECNL GU18/U19,Premier Sports Campus,Field #09,On Time,245363
2021-07-04,01:45 PM,Group Play,BRYC Elite Academy ECNL GU18/U19,1,0,Eclipse Select SC North ECNL GU18/U19,Premier Sports Campus,Field #10,On Time,245364
2021-07-04,01:45 PM,Group Play,Michigan Hawks Magic ECNL GU18/U19,3,0,Seattle United ECNL GU18/U19,Premier Sports Campus,Field #08,On Time,245365
2021-07-04,01:45 PM,Group Play,Sunrise Prime FC ECNL GU18/U19,2,0,Connecticut FC ECNL GU18/U19,Premier Sports Campus,Field #06,On Time,245366
2021-07-05,09:30 AM,Group Play,Eclipse Select SC North ECNL GU18/U19,1,3,Sunrise Prime FC ECNL GU18/U19,Premier Sports Campus,Field #13,On Time,245369
2021-07-05,09:45 AM,Bracket,Connecticut FC ECNL GU18/U19,1,3,Tampa Bay United Rowdies ECNL GU18/U19,Premier Sports Campus,Field #12,On Time,245367
2021-07-05,09:45 AM,Group Play,BRYC Elite Academy ECNL GU18/U19,4,2,AHFC ECNL GU18/U19,Premier Sports Campus,Field #16,On Time,245368
2021-07-05,09:45 AM,Group Play,FC Wisconsin ECNL GU18/U19,4,0,Seattle United ECNL GU18/U19,Premier Sports Campus,Field #02,On Time,245370
2021-07-05,09:45 AM,Group Play,East Meadow SC ECNL GU18/U19,1,2,Michigan Hawks Magic ECNL GU18/U19,Premier Sports Campus,Field #04,On Time,245371
