rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Wisconsin ECNL GU18/U19,FC Wisconsin Girls,6895,2,2,0,0,6,3.0,7,0,7
2,Sunrise Prime FC ECNL GU18/U19,Athletic Club Florida,20330,2,2,0,0,6,3.0,5,1,4
3,Michigan Hawks Magic ECNL GU18/U19,Michigan Hawks,6903,2,2,0,0,6,3.0,5,1,4
4,BRYC Elite Academy ECNL GU18/U19,Braddock Road Youth Club,1517,2,2,0,0,6,3.0,5,2,3
5,East Meadow SC ECNL GU18/U19,East Meadow Soccer Club,6882,2,1,1,0,3,1.5,3,2,1
6,Tampa Bay United Rowdies ECNL GU18/U19,Tampa Bay United,7068,2,1,1,0,3,1.5,3,3,0
7,Eclipse Select SC North ECNL GU18/U19,Eclipse Select Soccer Club,20191,2,0,2,0,0,0.0,1,4,-3
8,Connecticut FC ECNL GU18/U19,Connecticut FC,6885,2,0,2,0,0,0.0,1,5,-4
9,AHFC ECNL GU18/U19,Albion Hurricanes FC,6871,2,0,2,0,0,0.0,2,7,-5
10,Seattle United ECNL GU18/U19,Seattle United,10594,2,0,2,0,0,0.0,0,7,-7
