date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-08-22,11:00 AM,Bracket,Concorde Fire Platinum ECNL GU15,1,0,Concorde Fire Premier ECNL GU15,Georgia Soccer Park,Field 1,On Time,168767
2020-08-22,12:00 PM,Bracket,GSA ECNL GU15,2,1,Alabama FC ECNL GU15,GSA South,Schrader,On Time,168768
2020-08-23,12:00 PM,Bracket,Concorde Fire Platinum ECNL GU15,2,0,Alabama FC ECNL GU15,Georgia Soccer Park,Field 2,On Time,168771
2020-08-23,12:00 PM,Bracket,GSA ECNL GU15,5,0,Concorde Fire Premier ECNL GU15,GSA South,Schrader,On Time,168772
2020-08-30,11:00 AM,Bracket,United Futbol Academy ECNL GU15,3,1,Atlanta Fire United ECNL GU15,Fowler Park,Field 7,On Time,173980
2020-09-12,11:00 AM,Bracket,Concorde Fire Premier ECNL GU15,0,2,GSA ECNL GU15,Georgia Soccer Park,Field 3,On Time,168774
2020-09-12,02:00 PM,Bracket,Alabama FC ECNL GU15,1,5,Concorde Fire Platinum ECNL GU15,Dunnavant Valley Fields (DVF),Field # 2,On Time,168773
2020-09-13,12:00 PM,Bracket,Alabama FC ECNL GU15,0,3,GSA ECNL GU15,Dunnavant Valley Fields (DVF),Field #1,On Time,168776
2020-09-13,01:00 PM,Bracket,Concorde Fire Premier ECNL GU15,0,3,Concorde Fire Platinum ECNL GU15,Georgia Soccer Park,Field 3,On Time,168775
2020-09-19,09:00 AM,Bracket,GSA ECNL GU15,1,2,Sunrise Prime FC ECNL GU15,Silverbacks Park,Coca-Cola Field,On Time,168781
2020-09-19,12:00 PM,Bracket,Florida Elite SA ECNL GU15,2,0,United Futbol Academy ECNL GU15,Veterans Park,Field 2,On Time,168777
2020-09-19,12:30 PM,Bracket,Jacksonville FC ECNL GU15,1,1,Atlanta Fire United ECNL GU15,Patton Park,Field 2,On Time,168778
2020-09-20,12:00 PM,Bracket,Florida Elite SA ECNL GU15,1,0,Atlanta Fire United ECNL GU15,Veterans Park,Field 2,On Time,168783
2020-09-20,01:00 PM,Bracket,Jacksonville FC ECNL GU15,2,0,United Futbol Academy ECNL GU15,Patton Park,Field 2,On Time,168782
2020-09-20,01:00 PM,Bracket,Concorde Fire Platinum ECNL GU15,4,1,Sunrise Prime FC ECNL GU15,Georgia Soccer Park,Field 3,On Time,168785
2020-09-26,11:00 AM,Bracket,United Futbol Academy ECNL GU15,2,0,Orlando City ECNL GU15,Fowler Park,Field 7,On Time,168789
2020-09-26,12:00 PM,Bracket,Concorde Fire Premier ECNL GU15,1,1,Jacksonville FC ECNL GU15,Georgia Soccer Park,Field 4,On Time,168787
2020-09-26,01:00 PM,Bracket,Alabama FC ECNL GU15,2,0,Florida Elite SA ECNL GU15,Dunnavant Valley Fields (DVF),Field #1,On Time,168786
2020-09-26,01:00 PM,Bracket,Atlanta Fire United ECNL GU15,0,2,Florida Krush ECNL GU15,Pinecrest Academy,Turf,On Time,168788
2020-09-27,11:00 AM,Bracket,Alabama FC ECNL GU15,2,0,Jacksonville FC ECNL GU15,Dunnavant Valley Fields (DVF),Field #1,On Time,168790
2020-09-27,11:00 AM,Bracket,United Futbol Academy ECNL GU15,1,3,Florida Krush ECNL GU15,Fowler Park,Field 7,On Time,168792
2020-09-27,01:00 PM,Bracket,Concorde Fire Premier ECNL GU15,3,1,Florida Elite SA ECNL GU15,Georgia Soccer Park,Field 1,On Time,168791
2020-09-27,01:00 PM,Bracket,Atlanta Fire United ECNL GU15,2,0,Orlando City ECNL GU15,Pinecrest Academy,Turf,On Time,168793
2020-10-03,09:00 AM,Bracket,Tampa Bay United Rowdies ECNL GU15,0,0,Concorde Fire Premier ECNL GU15,Waters Sportsplex,Field 2,On Time,168700
2020-10-03,11:00 AM,Bracket,Sunrise Prime FC ECNL GU15,0,3,Alabama FC ECNL GU15,Max K. Rodes Park,Field 3,On Time,168701
2020-10-03,11:00 AM,Bracket,Atlanta Fire United ECNL GU15,1,0,United Futbol Academy ECNL GU15,Pinecrest Academy,Turf,On Time,168702
2020-10-03,02:00 PM,Bracket,Florida Krush ECNL GU15,0,2,Concorde Fire Platinum ECNL GU15,Central Winds,Field C,On Time,168698
2020-10-04,11:00 AM,Bracket,Florida Krush ECNL GU15,0,2,GSA ECNL GU15,Central Winds,Field C,On Time,168709
2020-10-04,01:00 PM,Bracket,Tampa Bay United Rowdies ECNL GU15,2,1,Alabama FC ECNL GU15,Waters Sportsplex,Field 2,On Time,168711
2020-10-04,01:00 PM,Bracket,Sunrise Prime FC ECNL GU15,3,2,Concorde Fire Premier ECNL GU15,Max K. Rodes Park,Field 4,On Time,168712
2020-10-10,03:00 PM,Bracket,Concorde Fire Platinum ECNL GU15,0,1,Tampa Bay United Rowdies ECNL GU15,Georgia Soccer Park,Field 2,On Time,168780
2020-10-11,09:00 AM,Bracket,GSA ECNL GU15,3,2,Tampa Bay United Rowdies ECNL GU15,Rabbit Hill Park,Field 1,On Time,168784
2020-10-17,09:00 AM,Bracket,Tampa Bay United Rowdies ECNL GU15,4,1,United Futbol Academy ECNL GU15,Waters Sportsplex,Field 3,On Time,168798
2020-10-17,09:00 AM,Bracket,Sunrise Prime FC ECNL GU15,4,0,Atlanta Fire United ECNL GU15,Chapel Trail Park,CTSP 3,On Time,168799
2020-10-17,10:00 AM,Bracket,Concorde Fire Premier ECNL GU15,2,0,Orlando City ECNL GU15,Georgia Soccer Park,Field 4,On Time,168687
2020-10-17,11:00 AM,Bracket,Alabama FC ECNL GU15,3,1,Florida Krush ECNL GU15,Dunnavant Valley Fields (DVF),Field # 2,On Time,168686
2020-10-18,11:00 AM,Bracket,Concorde Fire Premier ECNL GU15,1,1,Florida Krush ECNL GU15,Georgia Soccer Park,Field 6,On Time,168692
2020-10-18,11:00 AM,Bracket,Alabama FC ECNL GU15,2,0,Orlando City ECNL GU15,Dunnavant Valley Fields (DVF),Field #1,On Time,168693
2020-10-18,11:00 AM,Bracket,Sunrise Prime FC ECNL GU15,1,0,United Futbol Academy ECNL GU15,Chapel Trail Park,CTSP 3,On Time,168805
2020-10-18,01:00 PM,Bracket,Tampa Bay United Rowdies ECNL GU15,3,0,Atlanta Fire United ECNL GU15,Waters Sportsplex,Field 3,On Time,168804
2020-10-25,09:00 AM,Bracket,Concorde Fire Premier ECNL GU15,2,2,Alabama FC ECNL GU15,Georgia Soccer Park,Field 1,On Time,168697
2020-10-25,12:00 PM,Bracket,Florida Elite SA ECNL GU15,3,0,Jacksonville FC ECNL GU15,Veterans Park,Field 2,On Time,168764
2020-10-31,09:00 AM,Bracket,Atlanta Fire United ECNL GU15,0,4,Concorde Fire Platinum ECNL GU15,Notre Dame Academy,Turf,On Time,168733
2020-10-31,11:00 AM,Bracket,Florida Elite SA ECNL GU15,1,1,Florida Krush ECNL GU15,Veterans Park,Field 2,On Time,168741
2020-10-31,12:30 PM,Bracket,Jacksonville FC ECNL GU15,0,2,Orlando City ECNL GU15,Patton Park,Field 2,On Time,168742
2020-11-01,01:00 PM,Bracket,Jacksonville FC ECNL GU15,0,1,Florida Krush ECNL GU15,Patton Park,Field 3,On Time,168744
2020-11-01,02:00 PM,Bracket,Atlanta Fire United ECNL GU15,0,4,GSA ECNL GU15,Pinecrest Academy,Turf,On Time,168736
2020-11-01,03:00 PM,Bracket,Florida Elite SA ECNL GU15,1,1,Orlando City ECNL GU15,Veterans Park,Field 2,On Time,168743
2020-11-08,01:00 PM,Bracket,Concorde Fire Platinum ECNL GU15,3,1,GSA ECNL GU15,Georgia Soccer Park,Field 4,On Time,168696
2020-11-14,09:00 AM,Bracket,Orlando City ECNL GU15,0,1,GSA ECNL GU15,Seminole,Field 2,On Time,168699
2020-11-15,11:00 AM,Bracket,Orlando City ECNL GU15,0,2,Concorde Fire Platinum ECNL GU15,Seminole,Field 1,On Time,168710
2020-11-17,08:00 PM,Bracket,United Futbol Academy ECNL GU15,1,5,GSA ECNL GU15,Fowler Park,Field 7,On Time,168734
2020-11-21,11:00 AM,Bracket,GSA ECNL GU15,2,0,Atlanta Fire United ECNL GU15,GSA South,Schrader,On Time,168720
2020-11-21,11:00 AM,Bracket,Alabama FC ECNL GU15,1,3,Concorde Fire Premier ECNL GU15,Dunnavant Valley Fields (DVF),Field # 2,On Time,168721
2020-11-21,01:00 PM,Bracket,Concorde Fire Platinum ECNL GU15,2,1,United Futbol Academy ECNL GU15,Georgia Soccer Park,Field 3,On Time,168719
2020-11-22,09:00 AM,Bracket,Concorde Fire Platinum ECNL GU15,3,0,Atlanta Fire United ECNL GU15,Georgia Soccer Park,Field 4,On Time,168722
2020-11-22,11:00 AM,Bracket,GSA ECNL GU15,6,0,United Futbol Academy ECNL GU15,GSA South,Schrader,On Time,168723
2020-12-13,09:00 AM,Bracket,Atlanta Fire United ECNL GU15,1,2,Alabama FC ECNL GU15,Pinecrest Academy,Turf,On Time,168732
2021-01-09,11:00 AM,Bracket,Concorde Fire Premier ECNL GU15,1,2,Atlanta Fire United ECNL GU15,Georgia Soccer Park,Field 4,On Time,168727
2021-01-09,01:00 PM,Bracket,United Futbol Academy ECNL GU15,0,4,Concorde Fire Platinum ECNL GU15,Fowler Park,Field 7,On Time,168735
2021-01-16,11:30 AM,Bracket,Concorde Fire Premier ECNL GU15,2,3,United Futbol Academy ECNL GU15,Georgia Soccer Park,Field 4,On Time,168724
2021-01-17,01:00 PM,Bracket,United Futbol Academy ECNL GU15,0,1,Alabama FC ECNL GU15,Matt Community Park,Field 3,On Time,168728
