date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-08-22,02:00 PM,Bracket,GSA ECNL GU18/U19,0,1,Alabama FC ECNL GU18/U19,GSA South,Spencer,On Time,169134
2020-08-22,03:00 PM,Bracket,Concorde Fire Platinum ECNL GU18/U19,5,0,Concorde Fire Premier ECNL GU18/U19,Georgia Soccer Park,Field 1,On Time,169133
2020-08-23,12:00 PM,Bracket,Concorde Fire Platinum ECNL GU18/U19,2,0,Alabama FC ECNL GU18/U19,Georgia Soccer Park,Field 1,On Time,169137
2020-08-23,02:00 PM,Bracket,GSA ECNL GU18/U19,1,3,Concorde Fire Premier ECNL GU18/U19,GSA South,Spencer,On Time,169138
2020-09-12,04:00 PM,Bracket,Alabama FC ECNL GU18/U19,1,4,Concorde Fire Platinum ECNL GU18/U19,Dunnavant Valley Fields (DVF),Field # 2,On Time,169139
2020-09-12,05:00 PM,Bracket,Concorde Fire Premier ECNL GU18/U19,1,2,GSA ECNL GU18/U19,Georgia Soccer Park,Field 3,On Time,169140
2020-09-13,02:00 PM,Bracket,Alabama FC ECNL GU18/U19,1,1,GSA ECNL GU18/U19,Dunnavant Valley Fields (DVF),Field # 2,On Time,169142
2020-09-13,03:00 PM,Bracket,Concorde Fire Premier ECNL GU18/U19,1,2,Concorde Fire Platinum ECNL GU18/U19,Georgia Soccer Park,Field 3,On Time,169141
2020-09-19,11:00 AM,Bracket,GSA ECNL GU18/U19,3,2,Sunrise Prime FC ECNL GU18/U19,Silverbacks Park,Coca-Cola Field,On Time,169147
2020-09-19,12:00 PM,Bracket,Florida Elite SA ECNL GU18/U19,1,5,United Futbol Academy ECNL GU18/U19,Veterans Park,Field 1,On Time,169143
2020-09-19,12:30 PM,Bracket,Jacksonville FC ECNL GU18/U19,2,1,Atlanta Fire United ECNL GU18/U19,Patton Park,Field 3,On Time,169144
2020-09-20,11:00 AM,Bracket,Jacksonville FC ECNL GU18/U19,1,2,United Futbol Academy ECNL GU18/U19,Patton Park,Field 1,On Time,169148
2020-09-20,12:00 PM,Bracket,Florida Elite SA ECNL GU18/U19,2,2,Atlanta Fire United ECNL GU18/U19,Veterans Park,Field 1,On Time,169149
2020-09-20,01:00 PM,Bracket,Concorde Fire Platinum ECNL GU18/U19,4,0,Sunrise Prime FC ECNL GU18/U19,Georgia Soccer Park,Field 4,On Time,169151
2020-09-26,09:00 AM,Bracket,Alabama FC ECNL GU18/U19,0,2,Florida Elite SA ECNL GU18/U19,Dunnavant Valley Fields (DVF),Field # 2,On Time,169152
2020-09-26,09:00 AM,Bracket,Atlanta Fire United ECNL GU18/U19,1,1,Florida Krush ECNL GU18/U19,Pinecrest Academy,Grass,On Time,169154
2020-09-26,09:00 AM,Bracket,United Futbol Academy ECNL GU18/U19,1,0,Orlando City ECNL GU18/U19,Fowler Park,Field 6,On Time,169155
2020-09-26,02:00 PM,Bracket,Concorde Fire Premier ECNL GU18/U19,3,1,Jacksonville FC ECNL GU18/U19,Georgia Soccer Park,Field 4,On Time,169153
2020-09-27,09:00 AM,Bracket,Atlanta Fire United ECNL GU18/U19,0,1,Orlando City ECNL GU18/U19,Pinecrest Academy,Grass,On Time,169159
