rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL GU18/U19,Concorde Fire ,19904,14,10,1,3,33,2.36,48,14,34
2,Tampa Bay United Rowdies ECNL GU18/U19,Tampa Bay United,7068,16,11,2,3,36,2.25,37,16,21
3,Sunrise Prime FC ECNL GU18/U19,Athletic Club Florida,20330,16,9,7,0,27,1.69,37,32,5
4,Concorde Fire Premier ECNL GU18/U19,Concorde Fire ,6884,16,7,5,4,25,1.56,22,22,0
5,GSA ECNL GU18/U19,Gwinnett Soccer Academy,6896,13,6,5,2,20,1.54,26,23,3
6,Orlando City ECNL GU18/U19,Seminole United,6894,16,7,6,3,24,1.5,23,24,-1
7,Jacksonville FC ECNL GU18/U19,Jacksonville FC,7209,13,6,7,0,18,1.38,18,21,-3
8,United Futbol Academy ECNL GU18/U19,United Futbol Academy,45839,16,5,6,5,20,1.25,26,32,-6
9,Florida Elite SA ECNL GU18/U19,Sporting SA,10878,12,4,7,1,13,1.08,18,27,-9
10,Alabama FC ECNL GU18/U19,Alabama FC,6875,16,4,9,3,15,0.94,17,37,-20
11,Florida Krush ECNL GU18/U19,Florida Kraze Krush,10884,15,2,9,4,10,0.67,21,40,-19
12,Atlanta Fire United ECNL GU18/U19,Atlanta Fire United,6873,15,1,8,6,9,0.6,16,21,-5
