rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Alabama FC ECNL GU13,Alabama FC,46807,16,13,2,1,40,2.5,37,13,24,GU13,ECNL
2,GSA ECNL GU13,Gwinnett Soccer Academy,46812,16,12,3,1,37,2.31,42,16,26,GU13,ECNL
3,Jacksonville FC ECNL GU13,Jacksonville FC,46814,15,7,6,2,23,1.53,22,19,3,GU13,ECNL
4,Florida Elite SA ECNL GU13,Sporting SA,46901,15,6,5,4,22,1.47,19,11,8,GU13,ECNL
5,Sunrise Prime FC ECNL GU13,Athletic Club Florida,38492,16,7,7,2,23,1.44,20,21,-1,GU13,ECNL
6,Atlanta Fire United ECNL GU13,Atlanta Fire United,43088,16,4,9,3,15,0.94,10,34,-24,GU13,ECNL
7,Florida Krush ECNL GU13,Florida Kraze Krush,34961,16,3,8,5,14,0.88,17,25,-8,GU13,ECNL
8,Orlando City ECNL GU13,Seminole United,28033,16,3,10,3,12,0.75,15,35,-20,GU13,ECNL
9,Tampa Bay United Rowdies ECNL GU13,Tampa Bay United,36328,16,1,10,5,8,0.5,14,44,-30,GU13,ECNL
10,United Futbol Academy ECNL GU13,United Futbol Academy,45834,16,1,12,3,6,0.38,12,60,-48,GU13,ECNL
1,Jacksonville FC ECNL GU14,No Club Selection,35265,16,12,2,2,38,2.38,48,13,35,GU14,ECNL
2,Tampa Bay United Rowdies ECNL GU14,Tampa Bay United,21279,16,12,3,1,37,2.31,29,12,17,GU14,ECNL
3,Orlando City ECNL GU14,Seminole United,35258,16,10,4,2,32,2.0,39,23,16,GU14,ECNL
4,GSA ECNL GU14,Gwinnett Soccer Academy,33371,16,9,2,5,32,2.0,35,19,16,GU14,ECNL
5,Concorde Fire Platinum ECNL GU14,Concorde Fire ,35256,16,9,5,2,29,1.81,51,29,22,GU14,ECNL
6,Sunrise Prime FC ECNL GU14,Athletic Club Florida,22549,16,7,5,4,25,1.56,30,28,2,GU14,ECNL
7,Alabama FC ECNL GU14,Alabama FC,35266,16,5,7,4,19,1.19,26,29,-3,GU14,ECNL
8,Atlanta Fire United ECNL GU14,Atlanta Fire United,34662,16,5,8,3,18,1.13,16,22,-6,GU14,ECNL
9,United Futbol Academy ECNL GU14,United Futbol Academy,45835,16,4,6,6,18,1.13,24,39,-15,GU14,ECNL
10,Florida Elite SA ECNL GU14,Sporting SA,35114,16,3,13,0,9,0.56,9,38,-29,GU14,ECNL
11,Florida Krush ECNL GU14,Florida Kraze Krush,35020,16,0,10,6,6,0.38,16,32,-16,GU14,ECNL
12,Concorde Fire Premier ECNL GU14,Concorde Fire ,35262,16,1,12,3,6,0.38,12,51,-39,GU14,ECNL
1,Concorde Fire Platinum ECNL GU15,Concorde Fire ,19885,16,15,1,0,45,2.81,42,6,36,GU15,ECNL
2,GSA ECNL GU15,Gwinnett Soccer Academy,20326,16,13,3,0,39,2.44,42,11,31,GU15,ECNL
3,Sunrise Prime FC ECNL GU15,Athletic Club Florida,20328,16,11,2,3,36,2.25,22,11,11,GU15,ECNL
