rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,So Cal Blues ECNL GU13,So Cal Blues,29588,13,12,1,0,36,2.77,78,5,73
2,LAFC Slammers ECNL GU13,Slammers FC HB Koge,29720,13,11,0,2,35,2.69,41,3,38
3,San Diego Surf ECNL GU13,San Diego Surf Soccer Club,45875,13,9,1,3,30,2.31,37,9,28
4,Eagles SC ECNL GU13,Eagles SC,6122,15,10,2,3,33,2.2,47,8,39
5,Arsenal FC ECNL GU13,Sporting California USA,28062,13,7,4,2,23,1.77,29,15,14
6,AZ Arsenal ECNL GU13,Arizona Arsenal Soccer Club,45882,15,6,5,4,22,1.47,27,20,7
7,Phoenix Rising ECNL GU13,Phoenix Rising FC,45886,15,6,7,2,20,1.33,22,23,-1
8,Real So Cal ECNL GU13,LAFC So Cal,45887,14,5,6,3,18,1.29,17,30,-13
9,SLAMMERS FC ECNL GU13,Slammers FC,9288,13,5,7,1,16,1.23,19,21,-2
10,LA Breakers FC  ECNL GU13,No Club Selection,29129,15,4,8,3,15,1.0,14,30,-16
11,Rebels SC ECNL GU13,Rebels Soccer Club,19029,13,4,8,1,13,1.0,17,23,-6
12,Del Mar Sharks ECNL GU13,Legends FC - Del Mar,46835,13,3,8,2,11,0.85,8,38,-30
13,Strikers FC ECNL GU13,Strikers FC ECNL,46747,15,2,12,1,7,0.47,14,54,-40
14,Heat FC ECNL GU13,LV Heat Surf SC ,46745,16,0,15,1,1,0.06,7,98,-91
