date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-10-04,TBD,Bracket,Phoenix Rising ECNL GU18/U19 Composite,1,3,AZ Arsenal ECNL GU18/U19 Composite,,,On Time,210258
2020-10-17,TBD,Bracket,Phoenix Rising ECNL GU18/U19 Composite,1,5,SLAMMERS FC ECNL GU18/U19 Composite,,,On Time,210263
2020-10-17,08:00 AM,Bracket,AZ Arsenal ECNL GU18/U19 Composite,1,2,LAFC Slammers ECNL GU18/U19 Composite,Eagle Sports Complex,Field 4,On Time,210262
2020-10-18,TBD,Bracket,Phoenix Rising ECNL GU18/U19 Composite,1,4,LAFC Slammers ECNL GU18/U19 Composite,,,On Time,210268
2020-10-18,10:00 AM,Bracket,AZ Arsenal ECNL GU18/U19 Composite,1,1,SLAMMERS FC ECNL GU18/U19 Composite,Desert Sky Park,Field 4,On Time,210269
2020-10-24,TBD,Bracket,Phoenix Rising ECNL GU18/U19 Composite,0,0,Real So Cal ECNL GU18/U19 Composite,,,On Time,210274
2020-10-24,TBD,Bracket,Heat FC ECNL GU18/U19 Composite,0,1,LAFC Slammers ECNL GU18/U19 Composite,,,On Time,210275
2020-10-24,07:00 PM,Bracket,AZ Arsenal ECNL GU18/U19 Composite,2,4,So Cal Blues ECNL GU18/U19 Composite,Santos Soccer Complex,Field 3,On Time,210356
2020-10-25,TBD,Bracket,AZ Arsenal ECNL GU18/U19 Composite,3,0,Real So Cal ECNL GU18/U19 Composite,,,On Time,210279
2020-10-25,TBD,Bracket,Heat FC ECNL GU18/U19 Composite,1,4,SLAMMERS FC ECNL GU18/U19 Composite,,,On Time,210280
2020-10-25,TBD,Bracket,Phoenix Rising ECNL GU18/U19 Composite,0,9,So Cal Blues ECNL GU18/U19 Composite,,,On Time,210362
2020-10-31,TBD,Bracket,Phoenix Rising ECNL GU18/U19 Composite,0,0,LA Breakers FC ECNL GU18/U19 Composite,,,On Time,210393
2020-10-31,TBD,Bracket,AZ Arsenal ECNL GU18/U19 Composite,2,0,Arsenal FC ECNL GU18/U19 Composite,,,On Time,210394
2020-11-01,TBD,Bracket,AZ Arsenal ECNL GU18/U19 Composite,3,0,LA Breakers FC ECNL GU18/U19 Composite,,,On Time,210399
2020-11-01,TBD,Bracket,Phoenix Rising ECNL GU18/U19 Composite,0,0,Arsenal FC ECNL GU18/U19 Composite,,,On Time,210400
2020-11-07,TBD,Bracket,San Diego Surf ECNL GU18/U19 Composite,0,2,AZ Arsenal ECNL GU18/U19 Composite,,,On Time,210285
2020-11-07,TBD,Bracket,Rebels SC ECNL GU18/U19 Composite,1,4,Phoenix Rising ECNL GU18/U19 Composite,,,On Time,210286
2020-11-07,01:00 PM,Group Play,Heat FC ECNL GU18/U19 Composite,1,2,Strikers FC ECNL GU18/U19 Composite,Heritage Park Sports Complex,Field 5,On Time,237525
2020-11-08,TBD,Bracket,Rebels SC ECNL GU18/U19 Composite,0,2,AZ Arsenal ECNL GU18/U19 Composite,,,On Time,210292
2020-11-08,TBD,Bracket,San Diego Surf ECNL GU18/U19 Composite,0,1,Phoenix Rising ECNL GU18/U19 Composite,,,On Time,210293
2021-03-06,TBD,Bracket,So Cal Blues ECNL GU18/U19 Composite,12,0,Arsenal FC ECNL GU18/U19 Composite,,,On Time,210438
2021-03-06,09:00 AM,Bracket,San Diego Surf ECNL GU18/U19 Composite,0,2,LAFC Slammers ECNL GU18/U19 Composite,Surf Sports Park,Field 5,On Time,210303
2021-03-06,09:00 AM,Bracket,Rebels SC ECNL GU18/U19 Composite,0,7,SLAMMERS FC ECNL GU18/U19 Composite,Surf Sports Park,Field 2,On Time,210318
2021-03-06,09:00 AM,Bracket,Del Mar Sharks ECNL GU18/U19 Composite,0,4,Strikers FC ECNL GU18/U19 Composite,Surf Sports Park,Field 1,On Time,210395
2021-03-06,11:00 AM,Bracket,Eagles SC ECNL GU18/U19 Composite ,1,2,LA Breakers FC ECNL GU18/U19 Composite,Pleasant Valley Fields,Field 11,On Time,210296
2021-03-07,TBD,Bracket,So Cal Blues ECNL GU18/U19 Composite,,,Real So Cal ECNL GU18/U19 Composite,,,On Time,210415
2021-03-07,09:00 AM,Bracket,San Diego Surf ECNL GU18/U19 Composite,3,2,SLAMMERS FC ECNL GU18/U19 Composite,Surf Sports Park,Field 5,On Time,210300
2021-03-07,09:00 AM,Bracket,Rebels SC ECNL GU18/U19 Composite,1,2,LAFC Slammers ECNL GU18/U19 Composite,Surf Sports Park,Field 2,On Time,210315
2021-03-07,09:00 AM,Bracket,Del Mar Sharks ECNL GU18/U19 Composite,0,3,Arsenal FC ECNL GU18/U19 Composite,Surf Sports Park,Field 1,On Time,210371
2021-03-07,03:00 PM,Bracket,Eagles SC ECNL GU18/U19 Composite ,1,3,LA Breakers FC ECNL GU18/U19 Composite,Pleasant Valley Fields,Field 11,On Time,210338
2021-03-13,TBD,Bracket,Real So Cal ECNL GU18/U19 Composite,,,LA Breakers FC ECNL GU18/U19 Composite,,,On Time,210289
