rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,So Cal Blues ECNL GU18/U19 Composite,So Cal Blues,47702,9,9,0,0,27,3.0,64,5,59
2,Strikers FC ECNL GU18/U19 Composite,Strikers FC ECNL,47650,12,10,2,0,30,2.5,42,16,26
3,LAFC Slammers ECNL GU18/U19 Composite,Slammers FC HB Koge,20458,11,8,2,1,25,2.27,23,10,13
4,SLAMMERS FC ECNL GU18/U19 Composite,Slammers FC,1346,12,8,2,2,26,2.17,38,12,26
5,AZ Arsenal ECNL GU18/U19 Composite,Arizona Arsenal Soccer Club,20439,13,9,3,1,28,2.15,35,12,23
6,LA Breakers FC ECNL GU18/U19 Composite,LA Breakers FC,29845,11,4,5,2,14,1.27,12,27,-15
7,Phoenix Rising ECNL GU18/U19 Composite,Phoenix Rising FC,47757,11,3,5,3,12,1.09,15,33,-18
8,Arsenal FC ECNL GU18/U19 Composite,Sporting California USA,47796,10,3,6,1,10,1.0,8,25,-17
9,San Diego Surf ECNL GU18/U19 Composite,San Diego Surf Soccer Club,47162,8,2,4,2,8,1.0,8,13,-5
10,Eagles SC ECNL GU18/U19 Composite ,Eagles SC,47965,11,2,9,0,6,0.55,17,45,-28
11,Real So Cal ECNL GU18/U19 Composite,LAFC So Cal,47659,2,0,1,1,1,0.5,0,3,-3
12,Del Mar Sharks ECNL GU18/U19 Composite,Legends FC - Del Mar,47760,10,0,8,2,2,0.2,5,32,-27
13,Rebels SC ECNL GU18/U19 Composite,Rebels Soccer Club,47660,9,0,8,1,1,0.11,4,33,-29
14,Heat FC ECNL GU18/U19 Composite,LV Heat Surf SC ,47681,3,0,3,0,0,0.0,2,7,-5
