date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-10-04,TBD,Bracket,Phoenix Rising ECNL GU18/U19,,,AZ Arsenal ECNL GU18/U19,,,On Time,210076
2020-10-17,TBD,Bracket,Phoenix Rising ECNL GU18/U19,0,1,SLAMMERS FC ECNL GU18/U19,,,On Time,210081
2020-10-17,08:00 AM,Bracket,AZ Arsenal ECNL GU18/U19,1,4,LAFC Slammers ECNL GU18/U19,Eagle Sports Complex,Field 3,On Time,210080
2020-10-18,TBD,Bracket,Phoenix Rising ECNL GU18/U19,1,4,LAFC Slammers ECNL GU18/U19,,,On Time,210086
2020-10-18,08:00 AM,Bracket,AZ Arsenal ECNL GU18/U19,0,1,SLAMMERS FC ECNL GU18/U19,Desert Sky Park,Field 4,On Time,210087
2020-10-24,TBD,Bracket,Phoenix Rising ECNL GU18/U19,3,2,Real So Cal ECNL GU18/U19,,,On Time,210092
2020-10-24,TBD,Bracket,Heat FC ECNL GU18/U19,0,7,LAFC Slammers ECNL GU18/U19,,,On Time,210093
2020-10-24,07:00 PM,Bracket,AZ Arsenal ECNL GU18/U19,0,2,So Cal Blues ECNL GU18/U19,Santos Soccer Complex,Field 4,On Time,210174
2020-10-25,TBD,Bracket,AZ Arsenal ECNL GU18/U19,1,1,Real So Cal ECNL GU18/U19,,,On Time,210097
2020-10-25,TBD,Bracket,Heat FC ECNL GU18/U19,1,2,SLAMMERS FC ECNL GU18/U19,,,On Time,210098
2020-10-25,TBD,Bracket,Phoenix Rising ECNL GU18/U19,0,2,So Cal Blues ECNL GU18/U19,,,On Time,210180
2020-10-31,TBD,Bracket,Phoenix Rising ECNL GU18/U19,1,1,LA Breakers FC ECNL GU18/U19,,,On Time,210211
2020-10-31,TBD,Bracket,AZ Arsenal ECNL GU18/U19,3,2,Arsenal FC ECNL GU18/U19,,,On Time,210212
2020-11-01,TBD,Bracket,AZ Arsenal ECNL GU18/U19,1,0,LA Breakers FC ECNL GU18/U19,,,On Time,210217
2020-11-01,TBD,Bracket,Phoenix Rising ECNL GU18/U19,2,2,Arsenal FC ECNL GU18/U19,,,On Time,210218
2020-11-07,TBD,Bracket,San Diego Surf ECNL GU18/U19,0,0,AZ Arsenal ECNL GU18/U19,,,On Time,210103
2020-11-07,TBD,Bracket,Rebels SC ECNL GU18/U19,2,3,Phoenix Rising ECNL GU18/U19,,,On Time,210104
2020-11-07,03:31 PM,Bracket,Heat FC ECNL GU18/U19,1,5,Strikers FC ECNL GU18/U19,Heritage Park Sports Complex,Field 5,On Time,210109
2020-11-08,TBD,Bracket,Rebels SC ECNL GU18/U19,1,5,AZ Arsenal ECNL GU18/U19,,,On Time,210110
2020-11-08,TBD,Bracket,San Diego Surf ECNL GU18/U19,2,1,Phoenix Rising ECNL GU18/U19,,,On Time,210111
