rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,So Cal Blues ECNL GU18/U19,So Cal Blues,6923,13,13,0,0,39,3.0,67,4,63
2,LAFC Slammers ECNL GU18/U19,Slammers FC HB Koge,10580,13,10,1,2,32,2.46,43,9,34
3,Strikers FC ECNL GU18/U19,Strikers FC ECNL,6994,14,9,2,3,30,2.14,30,18,12
4,SLAMMERS FC ECNL GU18/U19,Slammers FC,5985,13,7,4,2,23,1.77,17,17,0
5,AZ Arsenal ECNL GU18/U19,Arizona Arsenal Soccer Club,20436,14,7,5,2,23,1.64,24,18,6
6,San Diego Surf ECNL GU18/U19,San Diego Surf Soccer Club,45880,12,5,3,4,19,1.58,17,10,7
7,Real So Cal ECNL GU18/U19,LAFC So Cal,45892,14,5,5,4,19,1.36,18,17,1
8,Rebels SC ECNL GU18/U19,Rebels Soccer Club,9484,13,5,6,2,17,1.31,27,34,-7
9,Phoenix Rising ECNL GU18/U19,Phoenix Rising FC,20448,14,5,6,3,18,1.29,27,25,2
10,LA Breakers FC ECNL GU18/U19,LA Breakers FC,19487,15,4,6,5,17,1.13,20,22,-2
11,Heat FC ECNL GU18/U19,LV Heat Surf SC ,6856,16,4,11,1,13,0.81,20,56,-36
12,Arsenal FC ECNL GU18/U19,Sporting California USA,6872,13,1,8,4,7,0.54,12,27,-15
13,Eagles SC ECNL GU18/U19,Eagles SC,5830,15,2,12,1,7,0.47,18,49,-31
14,Del Mar Sharks ECNL GU18/U19,Legends FC - Del Mar,10860,13,1,9,3,6,0.46,11,45,-34
