rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,So Cal Blues ECNL GU13,So Cal Blues,29588,13,12,1,0,36,2.77,78,5,73,GU13,ECNL
2,LAFC Slammers ECNL GU13,Slammers FC HB Koge,29720,13,11,0,2,35,2.69,41,3,38,GU13,ECNL
3,San Diego Surf ECNL GU13,San Diego Surf Soccer Club,45875,13,9,1,3,30,2.31,37,9,28,GU13,ECNL
4,Eagles SC ECNL GU13,Eagles SC,6122,15,10,2,3,33,2.2,47,8,39,GU13,ECNL
5,Arsenal FC ECNL GU13,Sporting California USA,28062,13,7,4,2,23,1.77,29,15,14,GU13,ECNL
6,AZ Arsenal ECNL GU13,Arizona Arsenal Soccer Club,45882,15,6,5,4,22,1.47,27,20,7,GU13,ECNL
7,Phoenix Rising ECNL GU13,Phoenix Rising FC,45886,15,6,7,2,20,1.33,22,23,-1,GU13,ECNL
8,Real So Cal ECNL GU13,LAFC So Cal,45887,14,5,6,3,18,1.29,17,30,-13,GU13,ECNL
9,SLAMMERS FC ECNL GU13,Slammers FC,9288,13,5,7,1,16,1.23,19,21,-2,GU13,ECNL
10,LA Breakers FC  ECNL GU13,No Club Selection,29129,15,4,8,3,15,1.0,14,30,-16,GU13,ECNL
11,Rebels SC ECNL GU13,Rebels Soccer Club,19029,13,4,8,1,13,1.0,17,23,-6,GU13,ECNL
12,Del Mar Sharks ECNL GU13,Legends FC - Del Mar,46835,13,3,8,2,11,0.85,8,38,-30,GU13,ECNL
13,Strikers FC ECNL GU13,Strikers FC ECNL,46747,15,2,12,1,7,0.47,14,54,-40,GU13,ECNL
14,Heat FC ECNL GU13,LV Heat Surf SC ,46745,16,0,15,1,1,0.06,7,98,-91,GU13,ECNL
1,So Cal Blues ECNL GU14,So Cal Blues,35189,13,12,0,1,37,2.85,56,6,50,GU14,ECNL
2,LAFC Slammers ECNL GU14,Slammers FC HB Koge,8995,13,11,2,0,33,2.54,57,11,46,GU14,ECNL
3,San Diego Surf ECNL GU14,San Diego Surf Soccer Club,45876,13,10,2,1,31,2.38,49,11,38,GU14,ECNL
4,Eagles SC ECNL GU14,No Club Selection,1153,15,9,4,2,29,1.93,60,19,41,GU14,ECNL
5,LA Breakers FC ECNL GU14,No Club Selection,34925,15,9,5,1,28,1.87,36,24,12,GU14,ECNL
6,Phoenix Rising ECNL GU14,Phoenix Rising FC,35183,14,8,4,2,26,1.86,38,21,17,GU14,ECNL
7,Real So Cal ECNL GU14,LAFC So Cal,45888,14,7,5,2,23,1.64,29,17,12,GU14,ECNL
8,SLAMMERS FC ECNL GU14,Slammers FC,18022,13,6,6,1,19,1.46,32,20,12,GU14,ECNL
9,Heat FC ECNL GU14,LV Heat Surf SC ,35182,16,5,9,2,17,1.06,42,56,-14,GU14,ECNL
10,Strikers FC ECNL GU14,Strikers FC ECNL,35188,15,4,9,2,14,0.93,19,39,-20,GU14,ECNL
11,Rebels SC ECNL GU14,Rebels Soccer Club,9867,12,3,8,1,10,0.83,15,42,-27,GU14,ECNL
12,AZ Arsenal ECNL GU14,Arizona Arsenal Soccer Club,33451,15,3,11,1,10,0.67,8,34,-26,GU14,ECNL
13,Del Mar Sharks ECNL GU14,Legends FC - Del Mar,35180,13,1,10,2,5,0.38,12,58,-46,GU14,ECNL
14,Arsenal FC ECNL GU14,Sporting California USA,21540,13,0,13,0,0,0.0,3,98,-95,GU14,ECNL
1,LAFC Slammers ECNL GU15,Slammers FC HB Koge,17118,13,12,0,1,37,2.85,55,6,49,GU15,ECNL
2,San Diego Surf ECNL GU15,San Diego Surf Soccer Club,45877,13,11,0,2,35,2.69,55,1,54,GU15,ECNL
3,So Cal Blues ECNL GU15,So Cal Blues,13344,13,11,2,0,33,2.54,48,8,40,GU15,ECNL
4,Real So Cal ECNL GU15,LAFC So Cal,45889,14,9,2,3,30,2.14,33,14,19,GU15,ECNL
5,SLAMMERS FC ECNL GU15,Slammers FC,9292,13,7,4,2,23,1.77,18,11,7,GU15,ECNL
6,Strikers FC ECNL GU15,Strikers FC ECNL,20461,15,7,6,2,23,1.53,28,36,-8,GU15,ECNL
7,Rebels SC ECNL GU15,Rebels Soccer Club,35184,12,5,6,1,16,1.33,19,13,6,GU15,ECNL
8,Phoenix Rising ECNL GU15,Phoenix Rising FC,20445,15,6,8,1,19,1.27,18,36,-18,GU15,ECNL
9,LA Breakers FC ECNL GU15,No Club Selection,19489,15,5,7,3,18,1.2,14,29,-15,GU15,ECNL
10,Heat FC ECNL GU15,LV Heat Surf SC ,20442,16,5,7,4,19,1.19,24,38,-14,GU15,ECNL
11,AZ Arsenal ECNL GU15,Arizona Arsenal Soccer Club,20434,15,4,9,2,14,0.93,15,29,-14,GU15,ECNL
12,Eagles SC ECNL GU15,No Club Selection,35181,13,1,11,1,4,0.31,4,40,-36,GU15,ECNL
13,Del Mar Sharks ECNL GU15,Legends FC - Del Mar,9899,12,1,11,0,3,0.25,2,39,-37,GU15,ECNL
14,Arsenal FC ECNL GU15,Sporting California USA,20440,13,1,12,0,3,0.23,7,40,-33,GU15,ECNL
1,LAFC Slammers ECNL GU16,Slammers FC HB Koge,10076,13,12,0,1,37,2.85,50,6,44,GU16,ECNL
2,Heat FC ECNL GU16,LV Heat Surf SC ,11814,16,11,2,3,36,2.25,48,19,29,GU16,ECNL
3,San Diego Surf ECNL GU16,San Diego Surf Soccer Club,45878,13,8,1,4,28,2.15,26,8,18,GU16,ECNL
4,So Cal Blues ECNL GU16,So Cal Blues,17811,13,7,5,1,22,1.69,26,25,1,GU16,ECNL
5,Phoenix Rising ECNL GU16,Phoenix Rising FC,20446,15,8,6,1,25,1.67,31,27,4,GU16,ECNL
6,Arsenal FC ECNL GU16,Sporting California USA,15648,13,5,3,5,20,1.54,25,20,5,GU16,ECNL
7,SLAMMERS FC ECNL GU16,Slammers FC,17223,13,4,5,4,16,1.23,18,27,-9,GU16,ECNL
8,Strikers FC ECNL GU16,Strikers FC ECNL,20460,15,5,8,2,17,1.13,29,32,-3,GU16,ECNL
9,LA Breakers FC ECNL GU16,LA Breakers FC,34922,15,4,8,3,15,1.0,13,25,-12,GU16,ECNL
10,Real So Cal ECNL GU16,LAFC So Cal,45890,14,3,6,5,14,1.0,14,20,-6,GU16,ECNL
11,Eagles SC ECNL GU16,No Club Selection,5941,15,3,8,4,13,0.87,15,27,-12,GU16,ECNL
12,Del Mar Sharks ECNL GU16,Legends FC - Del Mar,16163,13,2,6,5,11,0.85,8,22,-14,GU16,ECNL
13,AZ Arsenal ECNL GU16,Arizona Arsenal Soccer Club,19165,15,3,9,3,12,0.8,19,43,-24,GU16,ECNL
14,Rebels SC ECNL GU16,Rebels Soccer Club,2399,13,2,10,1,7,0.54,18,39,-21,GU16,ECNL
1,LAFC Slammers ECNL GU17,Slammers FC HB Koge,10942,13,12,0,1,37,2.85,38,8,30,GU17,ECNL
2,So Cal Blues ECNL GU17,So Cal Blues,8953,13,9,2,2,29,2.23,38,10,28,GU17,ECNL
3,Real So Cal ECNL GU17,LAFC So Cal,45891,14,9,4,1,28,2.0,28,13,15,GU17,ECNL
4,San Diego Surf ECNL GU17,San Diego Surf Soccer Club,45879,13,7,3,3,24,1.85,35,10,25,GU17,ECNL
5,LA Breakers FC ECNL GU17,LA Breakers FC,19486,15,8,5,2,26,1.73,20,26,-6,GU17,ECNL
6,Heat FC ECNL GU17,LV Heat Surf SC ,11617,16,7,3,6,27,1.69,28,13,15,GU17,ECNL
7,SLAMMERS FC ECNL GU17,Slammers FC,11614,13,6,3,4,22,1.69,15,14,1,GU17,ECNL
8,Phoenix Rising ECNL GU17,Phoenix Rising FC,20447,15,6,5,4,22,1.47,24,16,8,GU17,ECNL
9,AZ Arsenal ECNL GU17,Arizona Arsenal Soccer Club,20435,15,5,6,4,19,1.27,27,30,-3,GU17,ECNL
10,Arsenal FC ECNL GU17,Sporting California USA,11616,13,3,7,3,12,0.92,23,28,-5,GU17,ECNL
11,Rebels SC ECNL GU17,Rebels Soccer Club,29778,13,3,8,2,11,0.85,14,28,-14,GU17,ECNL
12,Strikers FC ECNL GU17,Strikers FC ECNL,7629,15,2,10,3,9,0.6,17,41,-24,GU17,ECNL
13,Eagles SC ECNL GU17,No Club Selection,2195,14,0,10,4,4,0.29,12,46,-34,GU17,ECNL
14,Del Mar Sharks ECNL GU17,Legends FC - Del Mar,10859,12,0,11,1,1,0.08,5,41,-36,GU17,ECNL
1,So Cal Blues ECNL GU18/U19,So Cal Blues,6923,13,13,0,0,39,3.0,67,4,63,GU18/U19,ECNL
2,LAFC Slammers ECNL GU18/U19,Slammers FC HB Koge,10580,13,10,1,2,32,2.46,43,9,34,GU18/U19,ECNL
3,Strikers FC ECNL GU18/U19,Strikers FC ECNL,6994,14,9,2,3,30,2.14,30,18,12,GU18/U19,ECNL
4,SLAMMERS FC ECNL GU18/U19,Slammers FC,5985,13,7,4,2,23,1.77,17,17,0,GU18/U19,ECNL
5,AZ Arsenal ECNL GU18/U19,Arizona Arsenal Soccer Club,20436,14,7,5,2,23,1.64,24,18,6,GU18/U19,ECNL
6,San Diego Surf ECNL GU18/U19,San Diego Surf Soccer Club,45880,12,5,3,4,19,1.58,17,10,7,GU18/U19,ECNL
7,Real So Cal ECNL GU18/U19,LAFC So Cal,45892,14,5,5,4,19,1.36,18,17,1,GU18/U19,ECNL
8,Rebels SC ECNL GU18/U19,Rebels Soccer Club,9484,13,5,6,2,17,1.31,27,34,-7,GU18/U19,ECNL
9,Phoenix Rising ECNL GU18/U19,Phoenix Rising FC,20448,14,5,6,3,18,1.29,27,25,2,GU18/U19,ECNL
10,LA Breakers FC ECNL GU18/U19,LA Breakers FC,19487,15,4,6,5,17,1.13,20,22,-2,GU18/U19,ECNL
11,Heat FC ECNL GU18/U19,LV Heat Surf SC ,6856,16,4,11,1,13,0.81,20,56,-36,GU18/U19,ECNL
12,Arsenal FC ECNL GU18/U19,Sporting California USA,6872,13,1,8,4,7,0.54,12,27,-15,GU18/U19,ECNL
13,Eagles SC ECNL GU18/U19,Eagles SC,5830,15,2,12,1,7,0.47,18,49,-31,GU18/U19,ECNL
14,Del Mar Sharks ECNL GU18/U19,Legends FC - Del Mar,10860,13,1,9,3,6,0.46,11,45,-34,GU18/U19,ECNL
1,So Cal Blues ECNL GU18/U19 Composite,So Cal Blues,47702,9,9,0,0,27,3.0,64,5,59,GU18/U19 Composite,ECNL
2,Strikers FC ECNL GU18/U19 Composite,Strikers FC ECNL,47650,12,10,2,0,30,2.5,42,16,26,GU18/U19 Composite,ECNL
3,LAFC Slammers ECNL GU18/U19 Composite,Slammers FC HB Koge,20458,11,8,2,1,25,2.27,23,10,13,GU18/U19 Composite,ECNL
4,SLAMMERS FC ECNL GU18/U19 Composite,Slammers FC,1346,12,8,2,2,26,2.17,38,12,26,GU18/U19 Composite,ECNL
5,AZ Arsenal ECNL GU18/U19 Composite,Arizona Arsenal Soccer Club,20439,13,9,3,1,28,2.15,35,12,23,GU18/U19 Composite,ECNL
6,LA Breakers FC ECNL GU18/U19 Composite,LA Breakers FC,29845,11,4,5,2,14,1.27,12,27,-15,GU18/U19 Composite,ECNL
7,Phoenix Rising ECNL GU18/U19 Composite,Phoenix Rising FC,47757,11,3,5,3,12,1.09,15,33,-18,GU18/U19 Composite,ECNL
8,Arsenal FC ECNL GU18/U19 Composite,Sporting California USA,47796,10,3,6,1,10,1.0,8,25,-17,GU18/U19 Composite,ECNL
9,San Diego Surf ECNL GU18/U19 Composite,San Diego Surf Soccer Club,47162,8,2,4,2,8,1.0,8,13,-5,GU18/U19 Composite,ECNL
10,Eagles SC ECNL GU18/U19 Composite ,Eagles SC,47965,11,2,9,0,6,0.55,17,45,-28,GU18/U19 Composite,ECNL
11,Real So Cal ECNL GU18/U19 Composite,LAFC So Cal,47659,2,0,1,1,1,0.5,0,3,-3,GU18/U19 Composite,ECNL
12,Del Mar Sharks ECNL GU18/U19 Composite,Legends FC - Del Mar,47760,10,0,8,2,2,0.2,5,32,-27,GU18/U19 Composite,ECNL
13,Rebels SC ECNL GU18/U19 Composite,Rebels Soccer Club,47660,9,0,8,1,1,0.11,4,33,-29,GU18/U19 Composite,ECNL
14,Heat FC ECNL GU18/U19 Composite,LV Heat Surf SC ,47681,3,0,3,0,0,0.0,2,7,-5,GU18/U19 Composite,ECNL
