date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-08-29,02:00 PM,Bracket,Oklahoma Celtic ECNL GU15,0,1,DKSC ECNL GU15,Oklahoma Celtic,Field 8,On Time,171388
2020-09-05,11:00 AM,Bracket,Sting Dallas Black ECNL GU15,5,1,Sting Dallas Royal ECNL GU15,Sting Complex,Field 1,On Time,171394
2020-09-05,11:00 AM,Bracket,DKSC ECNL GU15,0,7,FC Dallas ECNL GU15,Cox Soccer Complex,Field 1,On Time,171395
2020-09-05,01:00 PM,Bracket,Oklahoma Celtic ECNL GU15,0,5,Dallas Texans ECNL GU15,Oklahoma Celtic,Field 8,On Time,171392
2020-09-05,01:00 PM,Bracket,Tulsa SC ECNL GU15,3,5,Solar ECNL GU15,ISSC,Field 38,On Time,171393
2020-09-05,04:00 PM,Bracket,Challenge SC ECNL GU15,0,0,Classics Elite  ECNL GU15,Burroughs Park,Field 5,On Time,171390
2020-09-13,08:00 AM,Bracket,Sting Dallas Royal ECNL GU15,0,2,DKSC ECNL GU15,Chinn Chapel ,Field 5,On Time,171401
2020-09-13,09:00 AM,Bracket,FC Dallas ECNL GU15,3,1,Sting Dallas Black ECNL GU15,Toyota Soccer Center,Field 5,On Time,171400
2020-09-13,01:00 PM,Bracket,AHFC ECNL GU15,1,2,Classics Elite  ECNL GU15,Campbell Road Sports Park,Field 5,On Time,171397
2020-09-13,01:00 PM,Bracket,Dallas Texans ECNL GU15,2,0,Tulsa SC ECNL GU15,Ross Stewart Soccer Complex,Field 1,On Time,171398
2020-09-13,03:00 PM,Bracket,Solar ECNL GU15,7,0,Oklahoma Celtic ECNL GU15,Fairview Soccer Park ,Field 1,On Time,171399
2020-09-14,04:00 PM,Bracket,Challenge SC ECNL GU15,4,0,Sting Austin ECNL GU15,Burroughs Park,Field 1,On Time,171396
2020-09-19,09:00 AM,Bracket,Challenge SC ECNL GU15,1,1,AHFC ECNL GU15,Burroughs Park,Field 2,On Time,171402
2020-09-19,09:00 AM,Bracket,DKSC ECNL GU15,1,0,Sting Dallas Black ECNL GU15,Cox Soccer Complex,Field 2,On Time,171405
2020-09-19,09:00 AM,Bracket,Sting Dallas Royal ECNL GU15,0,4,FC Dallas ECNL GU15,Carpenter Pak,Field C,On Time,171406
2020-09-19,09:00 AM,Bracket,Solar ECNL GU15,4,0,Dallas Texans ECNL GU15,Gateway Park,Field 3,On Time,171407
2020-09-19,11:00 AM,Bracket,Sting Austin ECNL GU15,2,2,Oklahoma Celtic ECNL GU15,1849 Park,Field 3B,On Time,171403
2020-09-19,11:00 AM,Bracket,Classics Elite  ECNL GU15,4,3,Tulsa SC ECNL GU15,CE Soccer Complex,Field 6 d don't use,On Time,171404
2020-09-20,09:00 AM,Bracket,Classics Elite  ECNL GU15,4,1,Oklahoma Celtic ECNL GU15,CE Soccer Complex,Field 6,On Time,171408
2020-09-20,09:00 AM,Bracket,Sting Austin ECNL GU15,0,4,Tulsa SC ECNL GU15,1849 Park,Field 3B,On Time,171409
2020-09-26,09:00 AM,Bracket,FC Dallas ECNL GU15,4,0,DKSC ECNL GU15,Toyota Soccer Center,Field 5,On Time,171414
2020-09-26,11:00 AM,Bracket,Sting Dallas Royal ECNL GU15,0,3,Sting Dallas Black ECNL GU15,Sting Complex,Field 1,On Time,171413
2020-09-26,12:30 PM,Bracket,Solar ECNL GU15,2,1,Tulsa SC ECNL GU15,Fairview Soccer Park ,Field 6,On Time,171412
2020-09-26,01:00 PM,Bracket,AHFC ECNL GU15,1,0,Sting Austin ECNL GU15,Campbell Road Sports Park,Field 5,On Time,171410
2020-09-27,11:00 AM,Bracket,Classics Elite  ECNL GU15,0,1,Challenge SC ECNL GU15,CE Soccer Complex,Field 6,On Time,171415
2020-10-03,04:00 PM,Bracket,Sting Austin ECNL GU15,0,4,Challenge SC ECNL GU15,1849 Park,Field 3A,On Time,171417
2020-10-04,09:00 AM,Bracket,Sting Dallas Black ECNL GU15,1,1,FC Dallas ECNL GU15,Sting Complex,Field 1,On Time,171420
2020-10-04,01:00 PM,Bracket,Classics Elite  ECNL GU15,2,3,AHFC ECNL GU15,CE Soccer Complex,Field 5,On Time,171416
2020-10-04,04:00 PM,Bracket,Tulsa SC ECNL GU15,2,1,Dallas Texans ECNL GU15,Titan Main,Field 2,On Time,171419
2020-10-04,05:00 PM,Bracket,DKSC ECNL GU15,0,1,Sting Dallas Royal ECNL GU15,MoneyGram Soccer Park,Field 2,On Time,171421
2020-10-10,11:00 AM,Bracket,DKSC ECNL GU15,2,1,AHFC ECNL GU15,Cox Soccer Complex,Field 2,On Time,171423
2020-10-10,11:00 AM,Bracket,FC Dallas ECNL GU15,1,1,Tulsa SC ECNL GU15,Toyota Soccer Center,Field 6,On Time,171424
2020-10-10,11:00 AM,Bracket,Sting Dallas Royal ECNL GU15,4,3,Oklahoma Celtic ECNL GU15,TBD,Field 1,On Time,171425
2020-10-10,11:00 AM,Bracket,Dallas Texans ECNL GU15,4,0,Classics Elite  ECNL GU15,Dallas Texans Lewisville,Field 1,On Time,171427
2020-10-10,12:00 PM,Bracket,Solar ECNL GU15,7,0,Sting Austin ECNL GU15,Gateway Park,Field 4,On Time,171426
2020-10-11,09:00 AM,Bracket,FC Dallas ECNL GU15,3,1,Oklahoma Celtic ECNL GU15,Toyota Soccer Center,Field 5,On Time,171430
2020-10-11,10:00 AM,Bracket,Solar ECNL GU15,6,0,Classics Elite  ECNL GU15,Fairview Soccer Park ,Field 2,On Time,171432
2020-10-11,11:00 AM,Bracket,Sting Dallas Black ECNL GU15,1,1,AHFC ECNL GU15,Carpenter Park,Field C,On Time,171428
2020-10-11,11:00 AM,Bracket,Dallas Texans ECNL GU15,3,0,Sting Austin ECNL GU15,Dallas Texans Lewisville,Field 1,On Time,171433
