date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-08-29,10:00 AM,Bracket,Oklahoma Celtic ECNL GU18/U19 Composite,0,5,DKSC ECNL GU18/U19 Composite,Oklahoma Celtic,Field 9,On Time,171916
2020-09-05,12:00 PM,Bracket,Challenge SC ECNL GU18/U19 Composite,3,0,Classics Elite ECNL GU18/U19 Composite,Burroughs Park,Field 6,On Time,171918
2020-09-05,01:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19 Composite,0,5,Dallas Texans ECNL GU18/U19 Composite,Oklahoma Celtic,Field 10,On Time,171920
2020-09-05,03:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19 Composite,0,5,Sting Dallas Royal ECNL GU18/U19 Composite,Sting Complex,Field 2,On Time,171922
2020-09-05,05:00 PM,Bracket,Tulsa SC ECNL GU18/U19 Composite,0,9,Solar ECNL U18/U19 Composite,ISSC,Field 39,On Time,171921
2020-09-13,10:00 AM,Bracket,Sting Dallas Royal ECNL GU18/U19 Composite,0,1,DKSC ECNL GU18/U19 Composite,Chinn Chapel ,Field 5,On Time,171929
2020-09-13,01:00 PM,Bracket,FC Dallas ECNL GU18/U19 Composite,2,4,Sting Dallas Black ECNL GU18/U19 Composite,Toyota Soccer Center,Field 6,On Time,171928
2020-09-13,03:00 PM,Bracket,Challenge SC ECNL GU18/U19 Composite,3,0,Sting Austin ECNL GU18/U19 Composite ,Burroughs Park,Field 2,On Time,171924
2020-09-13,03:00 PM,Bracket,AHFC ECNL GU18/U19 Composite,2,0,Classics Elite ECNL GU18/U19 Composite,Campbell Road Sports Park,Field 5,On Time,171925
2020-09-13,03:00 PM,Bracket,Solar ECNL U18/U19 Composite,5,0,Oklahoma Celtic ECNL GU18/U19 Composite,Fairview Soccer Park ,Field 6,On Time,171927
2020-09-19,11:00 AM,Bracket,DKSC ECNL GU18/U19 Composite,4,3,Sting Dallas Black ECNL GU18/U19 Composite,Cox Soccer Complex,Field 2,On Time,171933
2020-09-19,11:00 AM,Bracket,Solar ECNL U18/U19 Composite,1,0,Dallas Texans ECNL GU18/U19 Composite,Gateway Park,Field 4,On Time,171935
2020-09-19,01:00 PM,Bracket,Classics Elite ECNL GU18/U19 Composite,3,0,Tulsa SC ECNL GU18/U19 Composite,CE Soccer Complex,Field 4,On Time,171932
2020-09-19,03:00 PM,Bracket,Challenge SC ECNL GU18/U19 Composite,3,2,AHFC ECNL GU18/U19 Composite,Burroughs Park,Field 1,On Time,171930
2020-09-19,03:00 PM,Bracket,Sting Austin ECNL GU18/U19 Composite ,1,3,Oklahoma Celtic ECNL GU18/U19 Composite,1849 Park,Field 3B,On Time,171931
2020-09-19,03:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19 Composite,6,3,FC Dallas ECNL GU18/U19 Composite,Carpenter Pak,Field C,On Time,171934
2020-09-20,01:00 PM,Bracket,Classics Elite ECNL GU18/U19 Composite,1,5,Oklahoma Celtic ECNL GU18/U19 Composite,CE Soccer Complex,Field 4 don't use,On Time,171936
2020-09-20,01:00 PM,Bracket,Sting Austin ECNL GU18/U19 Composite ,0,2,Tulsa SC ECNL GU18/U19 Composite,1849 Park,Field 3B,On Time,171937
