rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Sting Dallas Royal ECNL GU18/U19 Composite,Sting Soccer Club,47809,19,16,3,0,48,2.53,83,18,65
2,Solar ECNL U18/U19 Composite,Solar SC,3022,21,17,2,2,53,2.52,64,13,51
3,Dallas Texans ECNL GU18/U19 Composite,Dallas Texans,47793,20,16,2,2,50,2.5,68,16,52
4,DKSC ECNL GU18/U19 Composite,No Club Selection,45415,20,14,4,2,44,2.2,65,21,44
5,FC Dallas ECNL GU18/U19 Composite,FC Dallas Youth,47343,18,9,6,3,30,1.67,43,31,12
6,Challenge SC ECNL GU18/U19 Composite,Challenge SC,47679,18,9,7,2,29,1.61,36,31,5
7,AHFC ECNL GU18/U19 Composite,Albion Hurricanes FC,47701,17,7,5,5,26,1.53,28,23,5
8,Sting Dallas Black ECNL GU18/U19 Composite,Sting Soccer Club,21175,18,7,10,1,22,1.22,35,36,-1
9,Classics Elite ECNL GU18/U19 Composite,Classics Elite Soccer Academy,47745,20,4,14,2,14,0.7,18,43,-25
10,Oklahoma Celtic ECNL GU18/U19 Composite,Oklahoma Celtic,47671,19,3,15,1,10,0.53,18,77,-59
11,Tulsa SC ECNL GU18/U19 Composite,No Club Selection,44078,22,2,19,1,7,0.32,12,99,-87
12,Sting Austin ECNL GU18/U19 Composite ,Sting Austin,47808,20,1,18,1,4,0.2,9,71,-62
