date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2020-08-29,11:55 AM,Bracket,Oklahoma Celtic ECNL GU18/U19,0,9,DKSC ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171784
2020-09-05,12:00 PM,Bracket,Challenge SC ECNL GU18/U19,4,0,Classics Elite ECNL GU18/U19,Burroughs Park,Field 4,On Time,171786
2020-09-05,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,4,0,Sting Dallas Royal ECNL GU18/U19,Sting Complex,Field 2,On Time,171790
2020-09-05,01:00 PM,Bracket,DKSC ECNL GU18/U19,0,0,FC Dallas ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171791
2020-09-05,03:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,1,7,Dallas Texans ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171788
2020-09-13,12:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,3,DKSC ECNL GU18/U19,Chinn Chapel ,Field 5,On Time,171797
2020-09-13,01:00 PM,Bracket,Challenge SC ECNL GU18/U19,2,1,Sting Austin ECNL GU18/U19,Burroughs Park,Field 2,On Time,171792
2020-09-13,01:00 PM,Bracket,Solar ECNL GU18/U19,16,0,Oklahoma Celtic ECNL GU18/U19,Fairview Soccer Park ,Field 1,On Time,171795
2020-09-13,01:00 PM,Bracket,FC Dallas ECNL GU18/U19,3,4,Sting Dallas Black ECNL GU18/U19,Toyota Soccer Center,Field 5,On Time,171796
2020-09-13,03:00 PM,Bracket,AHFC ECNL GU18/U19,2,1,Classics Elite ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171793
2020-09-13,03:00 PM,Bracket,Dallas Texans ECNL GU18/U19,2,1,Tulsa SC ECNL GU18/U19,Ross Stewart Soccer Complex,Field 2,On Time,171794
2020-09-19,09:00 AM,Bracket,DKSC ECNL GU18/U19,2,2,Sting Dallas Black ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171801
2020-09-19,01:00 PM,Bracket,Classics Elite ECNL GU18/U19,2,3,Tulsa SC ECNL GU18/U19,CE Soccer Complex,Field 6 d don't use,On Time,171800
2020-09-19,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,1,4,FC Dallas ECNL GU18/U19,Carpenter Pak,Field C,On Time,171802
2020-09-19,03:00 PM,Bracket,Challenge SC ECNL GU18/U19,3,1,AHFC ECNL GU18/U19,Burroughs Park,Field 2,On Time,171798
2020-09-20,11:00 AM,Bracket,Sting Austin ECNL GU18/U19,0,2,Tulsa SC ECNL GU18/U19,1849 Park,Field 3B,On Time,171805
2020-09-26,01:00 PM,Bracket,AHFC ECNL GU18/U19,3,1,Sting Austin ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171806
2020-09-26,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,4,Sting Dallas Black ECNL GU18/U19,Sting Complex,Field 2,On Time,171809
2020-09-26,01:00 PM,Bracket,FC Dallas ECNL GU18/U19,3,1,DKSC ECNL GU18/U19,Toyota Soccer Center,Field 6,On Time,171810
2020-09-26,02:30 PM,Bracket,Solar ECNL GU18/U19,12,1,Tulsa SC ECNL GU18/U19,Fairview Soccer Park ,Field 1,On Time,171808
2020-09-26,03:00 PM,Bracket,Dallas Texans ECNL GU18/U19,2,0,Oklahoma Celtic ECNL GU18/U19,Ross Stewart Soccer Complex,Field 1,On Time,171807
2020-09-27,01:00 PM,Bracket,Classics Elite ECNL GU18/U19,0,2,Challenge SC ECNL GU18/U19,CE Soccer Complex,Field 6,On Time,171811
2020-10-03,12:00 PM,Bracket,Tulsa SC ECNL GU18/U19,0,7,Solar ECNL GU18/U19,Titan Main,Field 2,On Time,171789
