rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Sting Dallas Black ECNL GU13,Sting Soccer Club,11429,20,17,2,1,52,2.6,70,10,60,GU13,ECNL
2,Solar ECNL GU13,Solar SC,46791,22,18,2,2,56,2.55,73,22,51,GU13,ECNL
3,DKSC ECNL GU13,No Club Selection,45734,21,15,4,2,47,2.24,60,17,43,GU13,ECNL
4,Sting Austin ECNL GU13,Sting Austin,46779,21,14,6,1,43,2.05,41,19,22,GU13,ECNL
5,FC Dallas ECNL GU13,FC Dallas Youth,46900,21,9,8,4,31,1.48,30,22,8,GU13,ECNL
6,AHFC ECNL GU13,Albion Hurricanes FC,39582,21,9,9,3,30,1.43,26,28,-2,GU13,ECNL
7,Sting Dallas Royal ECNL GU13,Sting Soccer Club,22213,21,7,8,6,27,1.29,24,32,-8,GU13,ECNL
8,Classics Elite ECNL GU13,Classics Elite Soccer Academy,29192,22,6,13,3,21,0.95,21,69,-48,GU13,ECNL
9,Challenge SC ECNL GU13,Challenge SC,44419,21,6,13,2,20,0.95,27,34,-7,GU13,ECNL
10,Oklahoma Celtic ECNL GU13,Oklahoma Celtic,44930,20,2,15,3,9,0.45,9,52,-43,GU13,ECNL
11,Tulsa SC ECNL GU13,No Club Selection,44083,22,1,19,2,5,0.23,8,83,-75,GU13,ECNL
1,Solar ECNL GU14,Solar SC,20122,22,21,0,1,64,2.91,108,11,97,GU14,ECNL
2,FC Dallas ECNL GU14,FC Dallas Youth,46783,22,14,4,4,46,2.09,67,28,39,GU14,ECNL
3,Sting Dallas Royal ECNL GU14,Sting Soccer Club,45801,22,11,4,7,40,1.82,56,19,37,GU14,ECNL
4,DKSC ECNL GU14,No Club Selection,35219,21,12,7,2,38,1.81,52,28,24,GU14,ECNL
5,Tulsa SC ECNL GU14,No Club Selection,35234,22,10,6,6,36,1.64,38,23,15,GU14,ECNL
6,Challenge SC ECNL GU14,Challenge SC,35214,22,9,7,6,33,1.5,25,20,5,GU14,ECNL
7,Sting Dallas Black ECNL GU14,Sting Soccer Club,12441,20,9,8,3,30,1.5,34,36,-2,GU14,ECNL
8,Dallas Texans ECNL GU14,Dallas Texans,45790,22,8,10,4,28,1.27,36,36,0,GU14,ECNL
9,AHFC ECNL GU14,Albion Hurricanes FC,35213,21,7,11,3,24,1.14,21,49,-28,GU14,ECNL
10,Sting Austin ECNL GU14,Sting Austin,35232,22,8,14,0,24,1.09,19,50,-31,GU14,ECNL
