date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2022-06-22,09:00 AM,Bracket,Internationals SC ECNL GU18/U19,4,1,Eastside FC ECNL GU18/U19,60 Acres Park,Field #11,On Time,337800
2022-06-22,09:00 AM,Bracket,Solar SC ECNL GU18/U19,1,0,Richmond United ECNL GU18/U19,60 Acres Park,Field #12,On Time,337801
2022-06-22,09:00 AM,Bracket,Charlotte SA ECNL GU18/19,1,3,Slammers FC HB Koge ECNL GU18/19,60 Acres Park,Field #13,On Time,337802
2022-06-22,09:00 AM,Bracket,Concorde Fire Platinum ECNL GU18/U19,2,2,Eclipse Select SC ECNL GU18/U19,60 Acres Park,Field #14,On Time,337803
2022-06-22,09:00 AM,Bracket,Real Colorado National ECNL GU18/19,1,1,DKSC ECNL GU18/19,60 Acres Park,Field #15,On Time,337804
2022-06-22,09:00 AM,Bracket,Michigan Hawks ECNL GU18,3,1,Ohio Elite Soccer Academy ECNL GU18/U19,60 Acres Park,Field #16,On Time,337805
2022-06-22,09:00 AM,Bracket,MVLA ECNL GU18,2,1,Legends FC ECNL GU18/U19,60 Acres Park,Field #17,On Time,337806
2022-06-22,09:00 AM,Bracket,Beach FC ECNL GU18/U19,5,4,United Futbol Academy ECNL GU19,60 Acres Park,Field #19,On Time,337807
2022-06-23,09:00 AM,Bracket,DKSC ECNL GU18/19,3,2,MVLA ECNL GU18,60 Acres Park,Field #11,On Time,337793
2022-06-23,09:00 AM,Bracket,Concorde Fire Platinum ECNL GU18/U19,3,2,Beach FC ECNL GU18/U19,60 Acres Park,Field #12,On Time,337794
2022-06-23,09:00 AM,Bracket,Solar SC ECNL GU18/U19,2,2,Internationals SC ECNL GU18/U19,60 Acres Park,Field #14,On Time,337795
2022-06-23,09:00 AM,Bracket,Slammers FC HB Koge ECNL GU18/19,1,0,Michigan Hawks ECNL GU18,60 Acres Park,Field #13,On Time,337796
2022-06-23,09:00 AM,Bracket,Real Colorado National ECNL GU18/19,4,2,Legends FC ECNL GU18/U19,60 Acres Park,Field #17,On Time,338277
2022-06-23,09:00 AM,Bracket,Eclipse Select SC ECNL GU18/U19,2,5,United Futbol Academy ECNL GU19,60 Acres Park,Field #19,On Time,338278
2022-06-23,09:00 AM,Bracket,Richmond United ECNL GU18/U19,5,2,Eastside FC ECNL GU18/U19,60 Acres Park,Field #21,On Time,338279
2022-06-23,09:00 AM,Bracket,Charlotte SA ECNL GU18/19,4,2,Ohio Elite Soccer Academy ECNL GU18/U19,60 Acres Park,Field #20,On Time,338280
2022-06-25,10:00 AM,Bracket,DKSC ECNL GU18/19,1,3,Concorde Fire Platinum ECNL GU18/U19,60 Acres Park,Field #03,On Time,337797
2022-06-25,10:00 AM,Bracket,Solar SC ECNL GU18/U19,0,2,Slammers FC HB Koge ECNL GU18/19,60 Acres Park,Field #04,On Time,337798
2022-06-25,10:00 AM,Bracket,MVLA ECNL GU18,4,2,Beach FC ECNL GU18/U19,60 Acres Park,Field #05,On Time,338275
2022-06-25,10:00 AM,Bracket,Internationals SC ECNL GU18/U19,0,4,Michigan Hawks ECNL GU18,60 Acres Park,Field #07,On Time,338276
2022-06-25,11:00 AM,Bracket,Real Colorado National ECNL GU18/19,1,0,United Futbol Academy ECNL GU19,60 Acres Park,Field #20,On Time,338281
2022-06-25,11:00 AM,Bracket,Richmond United ECNL GU18/U19,2,1,Charlotte SA ECNL GU18/19,60 Acres Park,Field #21,On Time,338282
2022-06-25,11:00 AM,Bracket,Legends FC ECNL GU18/U19,3,3,Eclipse Select SC ECNL GU18/U19,60 Acres Park,Field #17,On Time,338283
2022-06-25,11:00 AM,Bracket,Eastside FC ECNL GU18/U19,1,2,Ohio Elite Soccer Academy ECNL GU18/U19,60 Acres Park,Field #19,On Time,338284
2022-06-27,09:00 AM,Bracket,Concorde Fire Platinum ECNL GU18/U19,3,2,Slammers FC HB Koge ECNL GU18/19,60 Acres Park,Field #11,On Time,337799
