date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
0001-01-01,TBD,Bracket,Crossfire Premier RL GU18/U19,,,Bye,,,On Time,338006
0001-01-01,TBD,Bracket,Beach FC ECNL GU18/U19,,,Bye,,,On Time,338008
2022-06-22,04:00 PM,Bracket,Solar SC RL GU18/U19,3,2,PacNW SC RL GU18/U19,60 Acres Park,Field #03,On Time,338007
2022-06-22,04:00 PM,Bracket,Pacesetter SC ECNL RL GU 18/19,1,4,Kansas City Athletics RL GU18/U19,60 Acres Park,Field #02,On Time,338009
2022-06-22,06:00 PM,Group Play,Beach FC RL GU18/U19,2,4,Crossfire Premier RL GU18/U19,60 Acres Park,Field #09,On Time,338016
2022-06-23,05:00 PM,Bracket,Crossfire Premier RL GU18/U19,0,4,Solar SC RL GU18/U19,60 Acres Park,Field #16,On Time,338010
2022-06-23,05:00 PM,Bracket,Kansas City Athletics RL GU18/U19,1,3,Beach FC ECNL GU18/U19,60 Acres Park,Field #17,On Time,338011
2022-06-23,05:00 PM,Group Play,Pacesetter SC ECNL RL GU 18/19,2,1,PacNW SC RL GU18/U19,60 Acres Park,Field #19,On Time,338285
2022-06-25,04:00 PM,Bracket,Solar SC RL GU18/U19,0,1,Beach FC ECNL GU18/U19,60 Acres Park,Field #07,On Time,338012
2022-06-25,05:00 PM,Group Play,Crossfire Premier RL GU18/U19,1,2,Pacesetter SC ECNL RL GU 18/19,60 Acres Park,Field #17,On Time,340859
2022-06-25,05:00 PM,Group Play,Kansas City Athletics RL GU18/U19,2,1,PacNW SC RL GU18/U19,60 Acres Park,Field #19,On Time,340860
