rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU13,Solar SC,59562,22,20,0,2,62,2.82,113,4,109
2,DKSC ECNL GU13,DKSC,47082,22,18,2,2,56,2.55,74,11,63
3,FC Dallas ECNL GU13,FC Dallas Youth,58541,22,17,2,3,54,2.45,57,19,38
4,Challenge SC ECNL GU13,Challenge SC,55881,22,10,6,6,36,1.64,39,34,5
5,Sting Dallas Royal ECNL GU13,Sting Soccer Club,59553,22,11,10,1,34,1.55,36,27,9
6,OK Energy FC ECNL GU13,Oklahoma Energy FC,59502,22,9,9,4,31,1.41,43,37,6
7,AHFC ECNL GU13,Albion Hurricanes FC,59340,22,9,9,4,31,1.41,35,29,6
8,Dallas Texans ECNL GU13,Dallas Texans,59998,22,9,9,4,31,1.41,36,36,0
9,Sting Dallas Black ECNL GU13,Sting Soccer Club,58426,22,4,15,3,15,0.68,24,65,-41
10,Classics Elite ECNL GU13,Classics Elite Soccer Academy,40417,22,4,16,2,14,0.64,23,84,-61
11,Tulsa SC ECNL GU13,No Club Selection,43250,22,3,14,5,14,0.64,16,36,-20
12,Sting Austin ECNL GU13,Sting Austin,45246,22,0,22,0,0,0.0,6,120,-114
