rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eastside FC ECNL G10,Eastside FC (WA),69451,13,10,0,3,33,2.54,35,2,33
2,Real Colorado Athletico ECNL G10,Real Colorado,69250,13,10,1,2,32,2.46,24,10,14
3,Real Colorado National ECNL G10,Real Colorado,69251,13,9,1,3,30,2.31,34,2,32
4,Seattle United ECNL G10,Seattle United,62229,13,7,3,3,24,1.85,26,7,19
5,Boise Thorns FC ECNL G10,Boise Timbers | Thorns,69320,13,7,4,2,23,1.77,23,20,3
6,Portland Thorns ECNL G10,Portland Thorns FC,69551,13,6,4,3,21,1.62,24,12,12
7,Pride SC ECNL G10,Pride SC,59883,13,5,4,4,19,1.46,17,17,0
8,Crossfire Premier ECNL G10,Crossfire Premier,62279,13,4,5,4,16,1.23,18,11,7
9,La Roca FC ECNL G10,La Roca FC,69014,13,4,6,3,15,1.15,14,22,-8
10,Utah Avalanche ECNL G10,Utah Avalanche,69486,13,3,7,3,12,0.92,11,19,-8
11,Washington Premier ECNL G10,Washington Premier FC,68860,13,2,5,6,12,0.92,12,21,-9
12,Northwest Elite FC ECNL G10,Oregon Surf SC,66440,13,1,8,4,7,0.54,11,28,-17
13,Colorado Rapids ECNL G10,Colorado Storm,69485,13,1,9,3,6,0.46,10,35,-25
14,PacNW SC ECNL G10,PacNW,68795,13,0,12,1,1,0.08,5,58,-53
