date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-06-24,08:00 AM,Bracket,Real Colorado National ECNL G05/04,2,1,Kansas City Athletics ECNL G05/04,Surf Sports Park,Field #09,On Time,459935
2023-06-24,08:00 AM,Bracket,Concorde Fire Platinum ECNL G05/04,6,1,FC Alliance ECNL G05/04,Surf Sports Park,Field #10,On Time,459938
2023-06-24,10:05 AM,Bracket,MVLA ECNL G05/04,0,2,FC Dallas ECNL G05/04,Surf Sports Park,Field #18,On Time,459934
2023-06-24,10:05 AM,Bracket,SLSG Navy ECNL G05/04,0,1,Utah Royals FC-AZ ECNL G05/04,Surf Sports Park,Field #14,On Time,459939
2023-06-24,12:10 PM,Bracket,DKSC ECNL G05/04,2,3,United Futbol Academy ECNL G05/04,Surf Sports Park,Field #18,On Time,459937
2023-06-24,01:45 PM,Bracket,Internationals SC ECNL G05/04,2,3,Michigan Hawks ECNL G05/04,Surf Sports Park,Field #17,On Time,459932
2023-06-24,01:45 PM,Bracket,Slammers FC HB Koge ECNL G05/04,4,1,Crossfire Premier ECNL G05/04,Surf Sports Park,Field #13,On Time,459936
2023-06-24,03:35 PM,Bracket,Charlotte SA ECNL G05/04,0,3,Beach FC ECNL G05/04,Surf Sports Park,Field #11,On Time,459933
2023-06-25,08:00 AM,Bracket,Internationals SC ECNL G05/04,4,0,Charlotte SA ECNL G05/04,Surf Sports Park,Field #08,On Time,459947
2023-06-25,09:50 AM,Bracket,Michigan Hawks ECNL G05/04,4,0,Beach FC ECNL G05/04,Surf Sports Park,Field #03,On Time,459940
2023-06-25,10:20 AM,Bracket,FC Alliance ECNL G05/04,3,1,SLSG Navy ECNL G05/04,Surf Sports Park,Field #15,On Time,459950
2023-06-25,01:30 PM,Bracket,FC Dallas ECNL G05/04,0,0,Real Colorado National ECNL G05/04,Surf Sports Park,Field #04,On Time,459941
2023-06-25,03:20 PM,Bracket,Slammers FC HB Koge ECNL G05/04,4,1,United Futbol Academy ECNL G05/04,Surf Sports Park,Field #10,On Time,459942
2023-06-25,05:10 PM,Bracket,Concorde Fire Platinum ECNL G05/04,5,0,Utah Royals FC-AZ ECNL G05/04,Surf Sports Park,Field #10,On Time,459943
2023-06-25,05:40 PM,Bracket,MVLA ECNL G05/04,3,1,Kansas City Athletics ECNL G05/04,Surf Sports Park,Field #11,On Time,459948
2023-06-25,05:40 PM,Bracket,Crossfire Premier ECNL G05/04,0,3,DKSC ECNL G05/04,Surf Sports Park,Field #12,On Time,459949
2023-06-27,11:40 AM,Bracket,Crossfire Premier ECNL G05/04,0,2,SLSG Navy ECNL G05/04,Surf Sports Park,Field #07,On Time,459956
2023-06-27,12:10 PM,Bracket,Michigan Hawks ECNL G05/04,1,0,Real Colorado National ECNL G05/04,Surf Sports Park,Field #13,On Time,459944
2023-06-27,12:10 PM,Bracket,Slammers FC HB Koge ECNL G05/04,2,1,Concorde Fire Platinum ECNL G05/04,Surf Sports Park,Field #15,On Time,459945
2023-06-27,01:30 PM,Bracket,DKSC ECNL G05/04,2,2,FC Alliance ECNL G05/04,Surf Sports Park,Field #02,On Time,459952
2023-06-27,01:30 PM,Bracket,Beach FC ECNL G05/04,3,1,FC Dallas ECNL G05/04,Surf Sports Park,Field #03,On Time,459953
2023-06-27,01:30 PM,Bracket,Charlotte SA ECNL G05/04,3,4,Kansas City Athletics ECNL G05/04,Surf Sports Park,Field #04,On Time,459955
2023-06-27,03:20 PM,Bracket,Internationals SC ECNL G05/04,2,3,MVLA ECNL G05/04,Surf Sports Park,Field #05,On Time,459951
2023-06-27,03:20 PM,Bracket,United Futbol Academy ECNL G05/04,3,3,Utah Royals FC-AZ ECNL G05/04,Surf Sports Park,Field #04,On Time,459954
2023-06-29,10:00 AM,Bracket,Michigan Hawks ECNL G05/04,0,2,Slammers FC HB Koge ECNL G05/04,Surf Sports Park,Field #15,On Time,459946
