date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-06-25,08:00 AM,Group Play,Beach FC ECNL G10,3,1,VDA ECNL G10,Surf Sports Park,Field #04,On Time,461042
2023-06-25,08:00 AM,Group Play,Internationals SC ECNL G10,3,5,DKSC ECNL G10,Surf Sports Park,Field #03,On Time,461046
2023-06-25,08:00 AM,Group Play,Charlotte SA ECNL G10,3,2,SLSG Green ECNL G10,Surf Sports Park,Field #01,On Time,461052
2023-06-25,08:00 AM,Group Play,So Cal Blues ECNL G10,4,1,Match Fit Academy ECNL G10,Surf Sports Park,Field #02,On Time,461061
2023-06-25,09:50 AM,Group Play,FC Stars Blue ECNL G10,0,4,Indiana Fire ECNL G10,Surf Sports Park,Field #02,On Time,461045
2023-06-25,09:50 AM,Group Play,Solar SC ECNL G10,4,0,Arlington Soccer ECNL G10,Surf Sports Park,Field #01,On Time,461054
2023-06-25,10:20 AM,Group Play,MVLA ECNL G10,5,1,Fairfax BRAVE SC ECNL G10,Surf Sports Park,Field C,On Time,461043
2023-06-25,10:20 AM,Group Play,WNY Flash ECNL G10,3,3,Concorde Fire Platinum ECNL G10,Surf Sports Park,Field D,On Time,461047
2023-06-25,11:40 AM,Group Play,FC Pride Elite ECNL G10,1,0,Bethesda SC ECNL G10,Surf Sports Park,Field #04,On Time,461044
2023-06-25,11:40 AM,Group Play,Eastside FC ECNL G10,2,2,LAFC So Cal ECNL G10,Surf Sports Park,Field #03,On Time,461060
2023-06-25,12:20 PM,Group Play,San Diego Surf ECNL G10,4,0,Boise Thorns FC ECNL G10,Surf Sports Park,Field C,On Time,461051
2023-06-25,12:20 PM,Group Play,Dallas Texans ECNL G10,0,3,World Class FC ECNL G10,Surf Sports Park,Field D,On Time,461058
2023-06-25,02:00 PM,Group Play,SLSG Navy ECNL G10,1,2,FC Dallas ECNL G10,Surf Sports Park,Field D,On Time,461055
