rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G10,Solar SC,66050,22,21,1,0,63,2.86,87,16,71
2,Dallas Texans ECNL G10,Dallas Texans,69269,22,17,2,3,54,2.45,79,18,61
3,FC Dallas ECNL G10,FC Dallas Youth,46266,22,14,5,3,45,2.05,55,28,27
4,DKSC ECNL G10,DKSC,68923,22,13,7,2,41,1.86,41,31,10
5,OK Energy FC ECNL G10,Oklahoma Energy FC,61013,22,12,6,4,40,1.82,63,34,29
6,Sting Dallas Black ECNL G10,Sting Soccer Club,48667,22,9,7,6,33,1.5,38,20,18
7,Tulsa SC ECNL G10,No Club Selection,66279,22,9,9,4,31,1.41,36,30,6
8,Albion Hurricanes FC ECNL G10,Albion Hurricanes FC,40463,22,8,12,2,26,1.18,44,36,8
9,Sting Dallas Royal ECNL G10,Sting Soccer Club,68974,22,8,12,2,26,1.18,35,32,3
10,Classics Elite ECNL G10,Classics Elite Soccer Academy,44138,22,3,17,2,11,0.5,23,74,-51
11,Challenge SC ECNL G10,Challenge SC,66750,22,3,18,1,10,0.45,16,56,-40
12,Sting Austin ECNL G10,Sting Austin,69524,22,0,21,1,1,0.05,5,147,-142
