date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2024-06-22,09:00 AM,Bracket,Sting Dallas Royal ECNL G08,5,2,South Carolina United ECNL G08,60 Acres Park,Field #03,On Time,634099
2024-06-22,10:00 AM,Bracket,Maryland United FC ECNL G08,0,2,Rockford Raptors ECNL G08,60 Acres Park,Field #09,On Time,634095
2024-06-22,10:00 AM,Bracket,Real Colorado Athletico ECNL G08,2,1,Santa Rosa United ECNL G08,60 Acres Park,Field #13,On Time,634096
2024-06-22,12:30 PM,Bracket,Pittsburgh Riverhounds ECNL G08,3,1,Arlington Soccer ECNL G08,60 Acres Park,Field #20,On Time,634100
2024-06-22,12:30 PM,Bracket,Placer United ECNL G08,2,1,FL Premier FC ECNL G08,60 Acres Park,Field #22,On Time,634101
2024-06-22,01:00 PM,Bracket,Charlotte Independence ECNL G08,2,1,Heat FC ECNL G08,60 Acres Park,Field #07,On Time,634097
2024-06-22,01:00 PM,Bracket,Midwest United FC ECNL G08,1,2,Match Fit Academy ECNL G08,60 Acres Park,Field #08,On Time,634098
2024-06-22,01:00 PM,Bracket,Pateadores ECNL G08,4,3,Indy Eleven Pro Academy ECNL G08,60 Acres Park,Field #03,On Time,634102
2024-06-24,08:00 AM,Bracket,Heat FC ECNL G08,0,1,Midwest United FC ECNL G08,60 Acres Park,Field #24,On Time,634111
2024-06-24,08:30 AM,Bracket,Maryland United FC ECNL G08,2,2,Santa Rosa United ECNL G08,60 Acres Park,Field #22,On Time,634110
2024-06-24,08:30 AM,Bracket,FL Premier FC ECNL G08,1,2,Indy Eleven Pro Academy ECNL G08,60 Acres Park,Field #20,On Time,634113
2024-06-24,09:00 AM,Bracket,Rockford Raptors ECNL G08,2,2,Real Colorado Athletico ECNL G08,60 Acres Park,Field #17,On Time,634103
2024-06-24,09:00 AM,Bracket,Charlotte Independence ECNL G08,1,1,Match Fit Academy ECNL G08,60 Acres Park,Field #11,On Time,634104
2024-06-24,09:00 AM,Bracket,Sting Dallas Royal ECNL G08,3,1,Pittsburgh Riverhounds ECNL G08,60 Acres Park,Field #12,On Time,634105
2024-06-24,09:00 AM,Bracket,Placer United ECNL G08,0,1,Pateadores ECNL G08,60 Acres Park,Field #16,On Time,634106
2024-06-24,03:00 PM,Bracket,South Carolina United ECNL G08,3,1,Arlington Soccer ECNL G08,60 Acres Park,Field #12,On Time,634112
2024-06-25,01:00 PM,Bracket,Rockford Raptors ECNL G08,1,3,Charlotte Independence ECNL G08,60 Acres Park,Field #08,On Time,634107
2024-06-25,01:00 PM,Bracket,Sting Dallas Royal ECNL G08,1,1,Pateadores ECNL G08,60 Acres Park,Field #11,On Time,634108
2024-06-25,01:00 PM,Bracket,Maryland United FC ECNL G08,0,3,Midwest United FC ECNL G08,60 Acres Park,Field #17,On Time,634114
2024-06-25,04:30 PM,Bracket,South Carolina United ECNL G08,0,2,Indy Eleven Pro Academy ECNL G08,60 Acres Park,Field #02,On Time,634115
2024-06-25,04:30 PM,Bracket,Real Colorado Athletico ECNL G08,1,0,Match Fit Academy ECNL G08,60 Acres Park,Field #20,On Time,634116
2024-06-25,04:30 PM,Bracket,Pittsburgh Riverhounds ECNL G08,0,3,Placer United ECNL G08,60 Acres Park,Field #04,On Time,634117
2024-06-25,04:30 PM,Bracket,Santa Rosa United ECNL G08,1,3,Heat FC ECNL G08,60 Acres Park,Field #10,On Time,634118
2024-06-25,04:30 PM,Bracket,Arlington Soccer ECNL G08,4,2,FL Premier FC ECNL G08,60 Acres Park,Field #14,On Time,634119
2024-06-27,10:15 AM,Bracket,Charlotte Independence ECNL G08,2,2,Pateadores ECNL G08,60 Acres Park,Field #09,On Time,634109
