rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NCFC Youth NC Courage ECNL G2008/09,NCFC Youth,130284,1,1,0,0,3,3.0,2,0,2
2,Beach FC (VA) ECNL G2008/09,Beach FC,135522,3,1,1,1,4,1.33,2,2,0
3,NC Fusion ECNL G2008/09,NC Fusion,13888,1,0,0,1,1,1.0,4,4,0
4,Arlington Soccer Association ECNL G2008/09,Arlington Soccer Association,134235,1,0,0,1,1,1.0,0,0,0
5,NCFC Youth ECNL G2008/09,NCFC Youth,59930,2,0,1,1,1,0.5,4,6,-2
6,Charlotte SA ECNL G2008/09,Charlotte Soccer Academy,131443,0,0,0,0,0,0.0,0,0,0
7,Fairfax Virginia Union ECNL G2008/09,Fairfax Virginia Union,135359,0,0,0,0,0,0.0,0,0,0
8,Richmond United ECNL G2008/09,Richmond United,133819,0,0,0,0,0,0.0,0,0,0
9,South Carolina Surf ECNL G2008/09,South Carolina Surf SC,129045,0,0,0,0,0,0.0,0,0,0
10,VDA ECNL G2008/09,Virginia Development Academy,59474,0,0,0,0,0,0.0,0,0,0
11,Wilmington Hammerheads ECNL G2008/09,Wilmington Hammerheads,134662,0,0,0,0,0,0.0,0,0,0
