rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Nationals SC ECNL G2008/09,Nationals,94331,4,4,0,0,12,3.0,17,5,12
2,Michigan Hawks ECNL G2008/09,Michigan Hawks,134109,3,3,0,0,9,3.0,12,3,9
3,Eclipse Select Soccer Club ECNL G2008/09,Eclipse Select Soccer Club,136040,4,3,0,1,10,2.5,16,6,10
4,Gretna Elite Academy ECNL G2008/09,Gretna Elite Academy,46765,5,3,1,1,10,2.0,18,5,13
5,St. Louis Scott Gallagher Navy ECNL G2008/09,St. Louis Scott Gallagher,134859,6,4,2,0,12,2.0,18,9,9
6,Rockford Raptors FC ECNL G2008/09,Rockford Raptors FC,134307,5,3,1,1,10,2.0,13,7,6
7,Chicago Inter ECNL G2008/09,Chicago Inter,127909,5,3,1,1,10,2.0,10,10,0
8,Kansas City Athletics ECNL G2008/09,KC Athletics,33175,4,2,1,1,7,1.75,11,4,7
9,Michigan Hawks Magic ECNL G2008/09,Michigan Hawks,134120,5,2,2,1,7,1.4,8,7,1
10,Missouri Rush ECNL G2008/09,Missouri Rush,114377,7,3,4,0,9,1.29,13,16,-3
11,Sporting Iowa ECNL G2008/09,Sporting Iowa Central,59751,5,2,3,0,6,1.2,7,14,-7
12,Liverpool FC MI ECNL G2008/09,Liverpool FC-IA Michigan,58647,6,0,5,1,1,0.17,4,22,-18
13,St. Louis Scott Gallagher Green ECNL G2008/09,St. Louis Scott Gallagher,134867,6,0,5,1,1,0.17,6,25,-19
14,MN Thunder Academy ECNL G2008/09,Minnesota Thunder Academy,134415,0,0,0,0,0,0.0,0,0,0
15,FC Wisconsin ECNL G2008/09,FC Wisconsin Girls,53835,3,0,3,0,0,0.0,0,9,-9
16,Sporting Blue Valley ECNL G2008/09,Sporting Blue Valley,131586,4,0,4,0,0,0.0,1,12,-11
