rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,San Juan SC ECNL G2012/13,San Juan Soccer Club,103791,5,5,0,0,15,3.0,23,3,20
2,Mustang SC ECNL G2012/13,Mustang Soccer,104961,4,3,0,1,10,2.5,10,4,6
3,MVLA ECNL G2012/13,MVLA,84876,5,4,1,0,12,2.4,19,4,15
4,Placer United ECNL G2012/13,Placer United Soccer Club,106265,4,2,1,1,7,1.75,9,4,5
5,Bay Area Surf - ECNL G2012/13,Bay Area Surf,115151,4,2,1,1,7,1.75,10,12,-2
6,Marin FC ECNL G2012/13,Marin FC,82675,4,2,2,0,6,1.5,5,10,-5
7,Santa Rosa United ECNL G2012/13,Santa Rosa United Soccer,132202,5,2,2,1,7,1.4,7,8,-1
8,COSC ECNL G2012/13,California Odyssey Soccer Club,114556,4,1,3,0,3,0.75,4,4,0
9,Davis Legacy ECNL G2012/13,Davis Legacy Soccer Club,110984,4,1,3,0,3,0.75,4,7,-3
10,Stanislaus Surf - ECNL G2012/13,Stanislaus Surf Soccer Club,82859,4,1,3,0,3,0.75,2,9,-7
11,Pleasanton RAGE ECNL G2012/13,Pleasanton Rage,44316,4,1,3,0,3,0.75,4,12,-8
12,Force (CA) ECNL G2012/13,Force,94620,5,0,5,0,0,0.0,0,20,-20
