rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pittsburgh Riverhounds ECNL G2013/14,Pittsburgh Riverhounds,82462,2,2,0,0,6,3.0,7,2,5
2,FC Pride Elite ECNL G2013/14,FC Pride,81294,1,1,0,0,3,3.0,3,0,3
3,WNY Flash ECNL G2013/14,WNY Flash Academy,111880,2,2,0,0,6,3.0,5,3,2
4,Internationals SC ECNL G2013/2014,Internationals SC,71160,2,1,0,1,4,2.0,5,3,2
5,Tennessee SC ECNL G2013/14,Tennessee SC,133462,2,1,1,0,3,1.5,5,5,0
6,Cleveland Force SC ECNL G2013/14,Cleveland Force SC,81549,2,1,1,0,3,1.5,2,3,-1
7,GTFC Impact ECNL G2013/14,GTFC Impact,108214,2,1,1,0,3,1.5,1,3,-2
8,FC Alliance TN ECNL G2013/14,FC Alliance TN,134638,2,0,1,1,1,0.5,1,2,-1
9,Ohio Premier ECNL G2013/14,Ohio Premier,81322,0,0,0,0,0,0.0,0,0,0
10,Indy Eleven ECNL G2013/14,Indy Eleven Academy,82333,1,0,1,0,0,0.0,0,1,-1
11,Ohio Elite SA ECNL G2013/14,Ohio Elite Soccer Academy,69943,2,0,2,0,0,0.0,5,8,-3
12,Racing Louisville Academy ECNL G2013/14,LouCity / Racing Youth Academy,132995,2,0,2,0,0,0.0,0,4,-4
