rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G2008/09,Concorde Fire ,59255,3,3,0,0,9,3.0,17,0,17
2,Athletic Club Florida ECNL G2008/09,Athletic Club Florida,38492,3,3,0,0,9,3.0,11,1,10
3,United Futbol Academy ECNL G2008/09,United Futbol Academy,45834,3,3,0,0,9,3.0,11,1,10
4,Seminole United ECNL G2008/09,Seminole United,59913,4,4,0,0,12,3.0,7,1,6
5,GSA ECNL G2008/09,Gwinnett Soccer Academy,131496,3,2,1,0,6,2.0,8,1,7
6,Atlanta Fire United ECNL G2008/09,Atlanta Fire United,60033,3,2,1,0,6,2.0,6,6,0
7,Alabama FC ECNL G2008/09,Alabama FC,58734,3,2,1,0,6,2.0,4,4,0
8,Florida Premier FC ECNL G2008/09,Florida Premier FC,69292,3,2,1,0,6,2.0,4,4,0
9,CESA Liberty ECNL G2008/09,Carolina Elite Soccer Academy,27972,3,1,1,1,4,1.33,2,3,-1
10,Concorde Fire Premier ECNL G2008/09,Concorde Fire ,59236,3,1,2,0,3,1.0,5,4,1
11,Team Boca ECNL G2008/09,Team Boca,131994,3,1,2,0,3,1.0,4,4,0
12,Florida Kraze Krush ECNL G2008/09,Florida Kraze Krush,34958,4,1,2,1,4,1.0,1,6,-5
13,Jacksonville FC ECNL G2008/09,Jacksonville FC,45667,4,0,4,0,0,0.0,3,11,-8
14,South Carolina United ECNL G2008/09,South Carolina United FC,50959,3,0,3,0,0,0.0,1,10,-9
15,Tampa Bay United ECNL G2008/09,Tampa Bay United,36328,3,0,3,0,0,0.0,0,13,-13
16,Sporting SA JAX ECNL G2008/09,Sporting SA,46901,4,0,4,0,0,0.0,1,16,-15
