rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SOLAR SC ECNL G2008/09,Solar SC,59562,2,2,0,0,6,3.0,9,0,9
2,Sting Black ECNL G2008/09,Sting Soccer Club,59553,1,1,0,0,3,3.0,4,0,4
3,FC Dallas Youth ECNL G2008/09,FC Dallas Youth,58541,1,1,0,0,3,3.0,2,1,1
4,Real Colorado National ECNL G2008/09,Real Colorado,58631,4,3,0,1,10,2.5,13,3,10
5,Dallas Texans ECNL G2008/09,Dallas Texans,134483,2,1,0,1,4,2.0,6,4,2
6,FC Westlake ECNL G2008/09,FC Westlake ,131277,2,1,1,0,3,1.5,4,4,0
7,Albion Hurricanes FC ECNL G2008/09,Albion Hurricanes FC,39582,4,1,1,2,5,1.25,5,7,-2
8,Colorado Storm ECNL G2008/09,Colorado Storm,59850,4,1,2,1,4,1.0,8,9,-1
9,Real Colorado Athletico ECNL G2008/09,Real Colorado,58634,3,0,1,2,2,0.67,4,5,-1
10,Sting Royal ECNL G2008/09,Sting Soccer Club,68973,2,0,1,1,1,0.5,2,6,-4
11,Lonestar ATX Red ECNL G2008/09,Lonestar ATX,132696,2,0,1,1,1,0.5,2,10,-8
12,Challenge SC ECNL G2008/09,Challenge SC,129337,3,0,2,1,1,0.33,3,11,-8
13,DKSC ECNL G2008/09,DKSC,47082,0,0,0,0,0,0.0,0,0,0
14,OK Energy FC ECNL G2008/09,Oklahoma Energy FC,59502,0,0,0,0,0,0.0,0,0,0
15,West Side Alliance ECNL G2008/09,West Side Alliance SC,110465,0,0,0,0,0,0.0,0,0,0
16,Colorado Rush ECNL G2008/09,Colorado Rush,94982,2,0,2,0,0,0.0,1,3,-2
